"Latest: Time (s)","Latest: Temperature (°C)"
0,20.8120158343
0.5,20.8120158343
1,20.8120158343
1.5,20.8120158343
2,20.8120158343
2.5,20.8120158343
3,20.8120158343
3.5,20.8120158343
4,20.8120158343
4.5,20.8120158343
5,20.8120158343
5.5,20.8120158343
6,20.8120158343
6.5,20.8120158343
7,20.8120158343
7.5,20.8120158343
8,20.8120158343
8.5,20.8120158343
9,20.8120158343
9.5,20.8120158343
10,20.8120158343
10.5,20.8120158343
11,20.8120158343
11.5,20.8120158343
12,20.8120158343
12.5,20.8120158343
13,20.8120158343
13.5,20.8120158343
14,20.8120158343
14.5,20.8120158343
15,20.8120158343
15.5,20.8120158343
16,20.8120158343
16.5,20.8120158343
17,20.8120158343
17.5,20.8120158343
18,20.8120158343
18.5,20.8120158343
19,20.8120158343
19.5,20.8120158343
20,20.8120158343
20.5,20.8120158343
21,20.8120158343
21.5,20.8120158343
22,20.8120158343
22.5,20.8120158343
23,20.8120158343
23.5,20.8120158343
24,20.8120158343
24.5,20.8120158343
25,20.8120158343
25.5,20.8120158343
26,20.8120158343
26.5,20.8120158343
27,20.8120158343
27.5,20.8120158343
28,20.8120158343
28.5,20.8120158343
29,20.8120158343
29.5,20.8120158343
30,20.8120158343
30.5,20.8120158343
31,20.8120158343
31.5,20.8120158343
32,20.8120158343
32.5,20.8120158343
33,20.8120158343
33.5,20.8120158343
34,20.8120158343
34.5,20.8120158343
35,20.8120158343
35.5,20.8120158343
36,20.8120158343
36.5,20.8120158343
37,20.8120158343
37.5,20.8120158343
38,20.8120158343
38.5,20.8120158343
39,20.8120158343
39.5,20.8120158343
40,20.8120158343
40.5,20.8120158343
41,20.8120158343
41.5,20.8120158343
42,20.8120158343
42.5,20.8120158343
43,20.8120158343
43.5,20.8120158343
44,20.8120158343
44.5,20.8120158343
45,20.8120158343
45.5,20.8120158343
46,20.8120158343
46.5,20.8120158343
47,20.8120158343
47.5,20.8120158343
48,20.8120158343
48.5,20.8120158343
49,20.8120158343
49.5,20.8120158343
50,20.8120158343
50.5,20.8120158343
51,20.8120158343
51.5,20.8120158343
52,20.8120158343
52.5,20.8120158343
53,20.8120158343
53.5,20.8120158343
54,20.8120158343
54.5,20.8120158343
55,20.8120158343
55.5,20.8120158343
56,20.8120158343
56.5,20.8120158343
57,20.8120158343
57.5,20.8120158343
58,20.8120158343
58.5,20.8120158343
59,20.8120158343
59.5,20.8120158343
60,20.8120158343
60.5,20.8120158343
61,20.8120158343
61.5,20.8120158343
62,20.8120158343
62.5,20.8120158343
63,20.8120158343
63.5,20.8120158343
64,20.8120158343
64.5,20.8120158343
65,20.8120158343
65.5,20.8120158343
66,20.8120158343
66.5,20.8120158343
67,20.8120158343
67.5,20.8120158343
68,20.8120158343
68.5,20.8120158343
69,20.8120158343
69.5,20.8120158343
70,20.8120158343
70.5,20.8120158343
71,20.8120158343
71.5,20.8120158343
72,20.8120158343
72.5,20.8120158343
73,20.8120158343
73.5,20.8120158343
74,20.8120158343
74.5,20.8120158343
75,20.8120158343
75.5,20.8120158343
76,20.8120158343
76.5,20.8120158343
77,20.8120158343
77.5,20.8120158343
78,20.8120158343
78.5,20.8120158343
79,20.8120158343
79.5,20.8120158343
80,20.8120158343
80.5,20.8120158343
81,20.8120158343
81.5,20.8120158343
82,20.8120158343
82.5,20.8120158343
83,20.8120158343
83.5,20.8120158343
84,20.8120158343
84.5,20.8120158343
85,20.8120158343
85.5,20.8120158343
86,20.8120158343
86.5,20.8120158343
87,20.8120158343
87.5,20.8120158343
88,20.8120158343
88.5,20.8120158343
89,20.8120158343
89.5,20.8120158343
90,20.8120158343
90.5,20.8120158343
91,20.8120158343
91.5,20.8120158343
92,20.8120158343
92.5,20.8120158343
93,20.8120158343
93.5,20.8120158343
94,20.8120158343
94.5,20.8120158343
95,20.8120158343
95.5,20.8120158343
96,20.8120158343
96.5,20.8120158343
97,20.8120158343
97.5,20.8120158343
98,20.8120158343
98.5,20.8120158343
99,20.8120158343
99.5,20.8120158343
100,20.8120158343
100.5,20.8120158343
101,20.8120158343
101.5,20.8120158343
102,20.8120158343
102.5,20.8120158343
103,20.8120158343
103.5,20.8120158343
104,20.8120158343
104.5,20.8120158343
105,20.8120158343
105.5,20.8120158343
106,20.8120158343
106.5,20.8120158343
107,20.8120158343
107.5,20.8120158343
108,20.8120158343
108.5,20.8120158343
109,20.8120158343
109.5,20.8120158343
110,20.8120158343
110.5,20.8120158343
111,20.8120158343
111.5,20.8120158343
112,20.8120158343
112.5,20.8120158343
113,20.8120158343
113.5,20.8120158343
114,20.8120158343
114.5,20.8120158343
115,20.8120158343
115.5,20.8120158343
116,20.8120158343
116.5,20.8120158343
117,20.8120158343
117.5,20.8120158343
118,20.8120158343
118.5,20.8120158343
119,20.8120158343
119.5,20.8120158343
120,20.8120158343
120.5,20.8120158343
121,20.8120158343
121.5,20.8120158343
122,20.8120158343
122.5,20.8120158343
123,20.8120158343
123.5,20.8120158343
124,20.8120158343
124.5,20.8120158343
125,20.8120158343
125.5,20.8120158343
126,20.8120158343
126.5,20.8120158343
127,20.8120158343
127.5,20.8120158343
128,20.8120158343
128.5,20.8120158343
129,20.8120158343
129.5,20.8120158343
130,20.8120158343
130.5,20.8120158343
131,20.8120158343
131.5,20.8120158343
132,20.8120158343
132.5,20.8120158343
133,20.8120158343
133.5,20.8120158343
134,20.8120158343
134.5,20.8120158343
135,20.8120158343
135.5,20.8120158343
136,20.8120158343
136.5,20.8120158343
137,20.8120158343
137.5,20.8120158343
138,20.8120158343
138.5,20.8120158343
139,20.8120158343
139.5,20.8120158343
140,20.8120158343
140.5,20.8120158343
141,20.8120158343
141.5,20.8120158343
142,20.8120158343
142.5,20.8120158343
143,20.8120158343
143.5,20.8120158343
144,20.8120158343
144.5,20.8120158343
145,20.8120158343
145.5,20.8120158343
146,20.8120158343
146.5,20.8120158343
147,20.8120158343
147.5,20.8120158343
148,20.8120158343
148.5,20.8120158343
149,20.8120158343
149.5,20.8120158343
150,20.8120158343
150.5,20.8120158343
151,20.8120158343
151.5,20.8120158343
152,20.8120158343
152.5,20.8120158343
153,20.8745158352
153.5,20.8120158343
154,20.8120158343
154.5,20.8120158343
155,20.8120158343
155.5,20.8120158343
156,20.8120158343
156.5,20.8120158343
157,20.8120158343
157.5,20.8120158343
158,20.8120158343
158.5,20.8120158343
159,20.8120158343
159.5,20.8120158343
160,20.8120158343
160.5,20.8120158343
161,20.8120158343
161.5,20.8120158343
162,20.8120158343
162.5,20.8120158343
163,20.8120158343
163.5,20.8120158343
164,20.8120158343
164.5,20.8120158343
165,20.8120158343
165.5,20.8120158343
166,20.8120158343
166.5,20.8120158343
167,20.8120158343
167.5,20.8120158343
168,20.8120158343
168.5,20.8120158343
169,20.8120158343
169.5,20.8120158343
170,20.8120158343
170.5,20.8120158343
171,20.8120158343
171.5,20.8745158352
172,20.8120158343
172.5,20.8120158343
173,20.8120158343
173.5,20.8120158343
174,20.8120158343
174.5,20.8120158343
175,20.8120158343
175.5,20.8120158343
176,20.8120158343
176.5,20.8120158343
177,20.8745158352
177.5,20.8120158343
178,20.8120158343
178.5,20.8120158343
179,20.8120158343
179.5,20.8120158343
180,20.8120158343
180.5,20.8120158343
181,20.8120158343
181.5,20.8120158343
182,20.8120158343
182.5,20.8120158343
183,20.8120158343
183.5,20.8120158343
184,20.8120158343
184.5,20.8120158343
185,20.8120158343
185.5,20.8120158343
186,20.8120158343
186.5,20.8120158343
187,20.8120158343
187.5,20.8120158343
188,20.8120158343
188.5,20.8120158343
189,20.8120158343
189.5,20.8120158343
190,20.8745158352
190.5,20.8745158352
191,20.8120158343
191.5,20.8120158343
192,20.8120158343
192.5,20.8120158343
193,20.8120158343
193.5,20.8120158343
194,20.8120158343
194.5,20.8120158343
195,20.8120158343
195.5,20.8745158352
196,20.8745158352
196.5,20.8120158343
197,20.8120158343
197.5,20.8745158352
198,20.8120158343
198.5,20.8120158343
199,20.8120158343
199.5,20.8120158343
200,20.8120158343
200.5,20.8120158343
201,20.8120158343
201.5,20.8745158352
202,20.8120158343
202.5,20.8120158343
203,20.8120158343
203.5,20.8120158343
204,20.8120158343
204.5,20.8745158352
205,20.8120158343
205.5,20.8120158343
206,20.8120158343
206.5,20.8745158352
207,20.8120158343
207.5,20.8120158343
208,20.8120158343
208.5,20.8745158352
209,20.8120158343
209.5,20.8120158343
210,20.8120158343
210.5,20.8745158352
211,20.8120158343
211.5,20.8745158352
212,20.8120158343
212.5,20.8120158343
213,20.8745158352
213.5,20.8745158352
214,20.8120158343
214.5,20.8745158352
215,20.8120158343
215.5,20.8120158343
216,20.8120158343
216.5,20.8120158343
217,20.8120158343
217.5,20.8745158352
218,20.8745158352
218.5,20.8745158352
219,20.8120158343
219.5,20.8120158343
220,20.8120158343
220.5,20.8745158352
221,20.8120158343
221.5,20.8120158343
222,20.8745158352
222.5,20.8120158343
223,20.8120158343
223.5,20.8745158352
224,20.8745158352
224.5,20.8120158343
225,20.8745158352
225.5,20.8120158343
226,20.8120158343
226.5,20.8745158352
227,20.8745158352
227.5,20.8745158352
228,20.8120158343
228.5,20.8745158352
229,20.8745158352
229.5,20.8745158352
230,20.8120158343
230.5,20.8120158343
231,20.8120158343
231.5,20.8120158343
232,20.8745158352
232.5,20.8745158352
233,20.8120158343
233.5,20.8120158343
234,20.8745158352
234.5,20.8745158352
235,20.8745158352
235.5,20.8745158352
236,20.8745158352
236.5,20.8120158343
237,20.8745158352
237.5,20.8745158352
238,20.8120158343
238.5,20.8120158343
239,20.8120158343
239.5,20.8745158352
240,20.8120158343
240.5,20.8745158352
241,20.8745158352
241.5,20.8745158352
242,20.8745158352
242.5,20.8120158343
243,20.8745158352
243.5,20.8745158352
244,20.8745158352
244.5,20.8745158352
245,20.8745158352
245.5,20.8745158352
246,20.8745158352
246.5,20.8745158352
247,20.8120158343
247.5,20.8745158352
248,20.8745158352
248.5,20.8745158352
249,20.8745158352
249.5,20.8745158352
250,20.8745158352
250.5,20.8745158352
251,20.8745158352
251.5,20.8745158352
252,20.8745158352
252.5,20.8120158343
253,20.8745158352
253.5,20.8745158352
254,20.8745158352
254.5,20.8120158343
255,20.8745158352
255.5,20.8745158352
256,20.8120158343
256.5,20.8745158352
257,20.8745158352
257.5,20.8745158352
258,20.8120158343
258.5,20.8745158352
259,20.8120158343
259.5,20.8745158352
260,20.8745158352
260.5,20.8745158352
261,20.8745158352
261.5,20.8745158352
262,20.8745158352
262.5,20.8120158343
263,20.8745158352
263.5,20.8745158352
264,20.8745158352
264.5,20.8745158352
265,20.8745158352
265.5,20.8745158352
266,20.8745158352
266.5,20.8745158352
267,20.8745158352
267.5,20.8745158352
268,20.8745158352
268.5,20.8745158352
269,20.8745158352
269.5,20.8745158352
270,20.8745158352
270.5,20.8745158352
271,20.8745158352
271.5,20.8745158352
272,20.8745158352
272.5,20.8745158352
273,20.8745158352
273.5,20.8745158352
274,20.8120158343
274.5,20.8745158352
275,20.8745158352
275.5,20.8745158352
276,20.8745158352
276.5,20.8745158352
277,20.8745158352
277.5,20.8745158352
278,20.8745158352
278.5,20.8745158352
279,20.8745158352
279.5,20.8745158352
280,20.8745158352
280.5,20.8120158343
281,20.8745158352
281.5,20.8745158352
282,20.8745158352
282.5,20.8745158352
283,20.8120158343
283.5,20.8745158352
284,20.8745158352
284.5,20.8745158352
285,20.8120158343
285.5,20.8745158352
286,20.8745158352
286.5,20.8745158352
287,20.8745158352
287.5,20.8745158352
288,20.8745158352
288.5,20.8745158352
289,20.8745158352
289.5,20.8745158352
290,20.8745158352
290.5,20.8745158352
291,20.8745158352
291.5,20.8120158343
292,20.8745158352
292.5,20.8745158352
293,20.8745158352
293.5,20.8745158352
294,20.8745158352
294.5,20.8745158352
295,20.8745158352
295.5,20.8745158352
296,20.8745158352
296.5,20.8745158352
297,20.8745158352
297.5,20.8745158352
298,20.8745158352
298.5,20.8745158352
299,20.8745158352
299.5,20.8745158352
300,20.8745158352
300.5,20.8745158352
301,20.8745158352
301.5,20.8745158352
302,20.8745158352
302.5,20.8745158352
303,20.8745158352
303.5,20.8745158352
304,20.8745158352
304.5,20.8745158352
305,20.8745158352
305.5,20.8745158352
306,20.8745158352
306.5,20.8745158352
307,20.8745158352
307.5,20.8745158352
308,20.8745158352
308.5,20.8745158352
309,20.8745158352
309.5,20.8745158352
310,20.8745158352
310.5,20.8745158352
311,20.8745158352
311.5,20.8745158352
312,20.8745158352
312.5,20.8745158352
313,20.8745158352
313.5,20.8745158352
314,20.8745158352
314.5,20.8745158352
315,20.8745158352
315.5,20.8745158352
316,20.8745158352
316.5,20.8745158352
317,20.8745158352
317.5,20.8745158352
318,20.8745158352
318.5,20.8745158352
319,20.8745158352
319.5,20.8745158352
320,20.8745158352
320.5,20.8745158352
321,20.8745158352
321.5,20.8745158352
322,20.8745158352
322.5,20.8745158352
323,20.8745158352
323.5,20.8745158352
324,20.8745158352
324.5,20.8745158352
325,20.8745158352
325.5,20.8745158352
326,20.8745158352
326.5,20.8745158352
327,20.8745158352
327.5,20.8745158352
328,20.8745158352
328.5,20.8745158352
329,20.8745158352
329.5,20.8745158352
330,20.9370158361
330.5,20.9370158361
331,20.9370158361
331.5,20.9370158361
332,20.9370158361
332.5,21.062015838
333,21.1870158399
333.5,21.3120158417
334,21.3745158426
334.5,21.4370158436
335,21.4370158436
335.5,21.4370158436
336,21.3745158426
336.5,21.3745158426
337,21.3120158417
337.5,21.2495158408
338,21.2495158408
338.5,21.1870158399
339,21.1870158399
339.5,21.1870158399
340,21.2495158408
340.5,21.2495158408
341,21.3120158417
341.5,21.2495158408
342,21.2495158408
342.5,21.2495158408
343,21.2495158408
343.5,21.3120158417
344,21.3120158417
344.5,21.3120158417
345,21.3745158426
345.5,21.3745158426
346,21.3745158426
346.5,21.3745158426
347,21.4370158436
347.5,21.5620158454
348,21.5620158454
348.5,21.5620158454
349,21.4995158445
349.5,21.4995158445
350,21.4370158436
350.5,21.4370158436
351,21.4995158445
351.5,21.4995158445
352,21.5620158454
352.5,21.5620158454
353,21.5620158454
353.5,21.5620158454
354,21.6870158473
354.5,21.6870158473
355,21.6870158473
355.5,21.6870158473
356,21.6870158473
356.5,21.6870158473
357,21.6870158473
357.5,21.7495158482
358,21.7495158482
358.5,21.7495158482
359,21.7495158482
359.5,21.8120158492
360,21.8120158492
360.5,21.8745158501
361,21.8745158501
361.5,21.8120158492
362,21.8120158492
362.5,21.8120158492
363,21.8120158492
363.5,21.8120158492
364,21.8120158492
364.5,21.8120158492
365,21.8120158492
365.5,21.8745158501
366,21.8745158501
366.5,21.937015851
367,21.937015851
367.5,21.937015851
368,21.937015851
368.5,21.937015851
369,21.937015851
369.5,21.937015851
370,21.999515852
370.5,22.0620158529
371,22.0620158529
371.5,22.0620158529
372,21.999515852
372.5,21.999515852
373,21.999515852
373.5,21.999515852
374,21.999515852
374.5,22.0620158529
375,22.0620158529
375.5,22.1245158538
376,22.1245158538
376.5,22.1245158538
377,22.1245158538
377.5,22.1245158538
378,22.1870158548
378.5,22.1870158548
379,22.1870158548
379.5,22.1870158548
380,22.1870158548
380.5,22.1870158548
381,22.1870158548
381.5,22.1870158548
382,22.2495158557
382.5,22.2495158557
383,22.2495158557
383.5,22.2495158557
384,22.2495158557
384.5,22.2495158557
385,22.3120158566
385.5,22.3120158566
386,22.3120158566
386.5,22.3120158566
387,22.3745158575
387.5,22.3745158575
388,22.3745158575
388.5,22.3745158575
389,22.3745158575
389.5,22.3745158575
390,22.3745158575
390.5,22.3745158575
391,22.3745158575
391.5,22.3745158575
392,22.4370158585
392.5,22.4370158585
393,22.4370158585
393.5,22.4370158585
394,22.4995158594
394.5,22.4995158594
395,22.4995158594
395.5,22.4995158594
396,22.4995158594
396.5,22.4995158594
397,22.4995158594
397.5,22.4995158594
398,22.4995158594
398.5,22.4995158594
399,22.4995158594
399.5,22.4995158594
400,22.4995158594
400.5,22.4995158594
401,22.4995158594
401.5,22.4995158594
402,22.5620158603
402.5,22.5620158603
403,22.5620158603
403.5,22.5620158603
404,22.5620158603
404.5,22.5620158603
405,22.6245158613
405.5,22.6245158613
406,22.6245158613
406.5,22.6245158613
407,22.6245158613
407.5,22.6245158613
408,22.6870158622
408.5,22.6870158622
409,22.6245158613
409.5,22.6245158613
410,22.6245158613
410.5,22.6245158613
411,22.6870158622
411.5,22.6870158622
412,22.6870158622
412.5,22.6870158622
413,22.6870158622
413.5,22.6870158622
414,22.6870158622
414.5,22.6870158622
415,22.6870158622
415.5,22.6870158622
416,22.6870158622
416.5,22.6870158622
417,22.7495158631
417.5,22.7495158631
418,22.7495158631
418.5,22.7495158631
419,22.7495158631
419.5,22.7495158631
420,22.7495158631
420.5,22.8120158641
421,22.8120158641
421.5,22.8120158641
422,22.8120158641
422.5,22.8120158641
423,22.8120158641
423.5,22.8120158641
424,22.8120158641
424.5,22.8120158641
425,22.8120158641
425.5,22.8120158641
426,22.8120158641
426.5,22.8120158641
427,22.8120158641
427.5,22.8120158641
428,22.874515865
428.5,22.874515865
429,22.874515865
429.5,22.874515865
430,22.874515865
430.5,22.874515865
431,22.874515865
431.5,22.874515865
432,22.874515865
432.5,22.874515865
433,22.874515865
433.5,22.874515865
434,22.874515865
434.5,22.874515865
435,22.874515865
435.5,22.874515865
436,22.874515865
436.5,22.874515865
437,22.874515865
437.5,22.874515865
438,22.874515865
438.5,22.9370158659
439,22.9370158659
439.5,22.9370158659
440,22.9370158659
440.5,22.9370158659
441,22.9370158659
441.5,22.9370158659
442,22.9370158659
442.5,22.9370158659
443,22.9370158659
443.5,22.9370158659
444,22.9370158659
444.5,22.9370158659
445,22.9370158659
445.5,22.9370158659
446,22.9370158659
446.5,22.9370158659
447,22.9370158659
447.5,22.9370158659
448,22.9370158659
448.5,22.9370158659
449,22.9995158669
449.5,22.9995158669
450,22.9995158669
450.5,22.9995158669
451,22.9995158669
451.5,22.9995158669
452,22.9995158669
452.5,22.9995158669
453,22.9995158669
453.5,22.9995158669
454,22.9995158669
454.5,22.9995158669
455,22.9995158669
455.5,22.9995158669
456,23.0620158678
456.5,23.0620158678
457,23.0620158678
457.5,23.0620158678
458,23.0620158678
458.5,23.0620158678
459,23.0620158678
459.5,23.0620158678
460,23.0620158678
460.5,23.0620158678
461,23.0620158678
461.5,23.0620158678
462,23.1245158687
462.5,23.1245158687
463,23.1245158687
463.5,23.1245158687
464,23.1245158687
464.5,23.1245158687
465,23.1245158687
465.5,23.1245158687
466,23.0620158678
466.5,23.0620158678
467,23.0620158678
467.5,23.0620158678
468,23.0620158678
468.5,23.0620158678
469,23.0620158678
469.5,23.1245158687
470,23.1245158687
470.5,23.1245158687
471,23.1245158687
471.5,23.1245158687
472,23.1245158687
472.5,23.1245158687
473,23.1245158687
473.5,23.1245158687
474,23.1245158687
474.5,23.1245158687
475,23.1245158687
475.5,23.1870158697
476,23.1870158697
476.5,23.1870158697
477,23.1245158687
477.5,23.1245158687
478,23.1245158687
478.5,23.1245158687
479,23.1245158687
479.5,23.1870158697
480,23.1870158697
480.5,23.1870158697
481,23.1870158697
481.5,23.1870158697
482,23.1870158697
482.5,23.1870158697
483,23.1870158697
483.5,23.1870158697
484,23.1870158697
484.5,23.1870158697
485,23.1870158697
485.5,23.1870158697
486,23.1870158697
486.5,23.1870158697
487,23.1870158697
487.5,23.1870158697
488,23.1870158697
488.5,23.1870158697
489,23.1870158697
489.5,23.1870158697
490,23.1870158697
490.5,23.1870158697
491,23.1870158697
491.5,23.1870158697
492,23.1870158697
492.5,23.1870158697
493,23.1870158697
493.5,23.1870158697
494,23.1870158697
494.5,23.1870158697
495,23.1870158697
495.5,23.1870158697
496,23.1870158697
496.5,23.1870158697
497,23.1870158697
497.5,23.1870158697
498,23.1870158697
498.5,23.1870158697
499,23.1870158697
499.5,23.1870158697
500,23.1870158697
500.5,23.1870158697
501,23.1870158697
501.5,23.1870158697
502,23.1870158697
502.5,23.1870158697
503,23.1870158697
503.5,23.1870158697
504,23.1870158697
504.5,23.1870158697
505,23.2495158706
505.5,23.2495158706
506,23.2495158706
506.5,23.2495158706
507,23.2495158706
507.5,23.2495158706
508,23.2495158706
508.5,23.2495158706
509,23.2495158706
509.5,23.2495158706
510,23.2495158706
510.5,23.2495158706
511,23.2495158706
511.5,23.2495158706
512,23.2495158706
512.5,23.2495158706
513,23.2495158706
513.5,23.2495158706
514,23.2495158706
514.5,23.2495158706
515,23.2495158706
515.5,23.2495158706
516,23.2495158706
516.5,23.2495158706
517,23.2495158706
517.5,23.2495158706
518,23.2495158706
518.5,23.2495158706
519,23.2495158706
519.5,23.2495158706
520,23.2495158706
520.5,23.2495158706
521,23.2495158706
521.5,23.2495158706
522,23.2495158706
522.5,23.2495158706
523,23.2495158706
523.5,23.2495158706
524,23.2495158706
524.5,23.2495158706
525,23.2495158706
525.5,23.3120158715
526,23.3120158715
526.5,23.3120158715
527,23.2495158706
527.5,23.3120158715
528,23.2495158706
528.5,23.2495158706
529,23.2495158706
529.5,23.2495158706
530,23.2495158706
530.5,23.2495158706
531,23.2495158706
531.5,23.2495158706
532,23.2495158706
532.5,23.2495158706
533,23.3120158715
533.5,23.2495158706
534,23.3120158715
534.5,23.3120158715
535,23.2495158706
535.5,23.2495158706
536,23.3120158715
536.5,23.3120158715
537,23.3120158715
537.5,23.3120158715
538,23.3120158715
538.5,23.3120158715
539,23.3120158715
539.5,23.3120158715
540,23.3120158715
540.5,23.3120158715
541,23.3120158715
541.5,23.3120158715
542,23.3120158715
542.5,23.3120158715
543,23.3120158715
543.5,23.3120158715
544,23.3120158715
544.5,23.3120158715
545,23.3120158715
545.5,23.3120158715
546,23.3120158715
546.5,23.3120158715
547,23.3120158715
547.5,23.3120158715
548,23.3120158715
548.5,23.3120158715
549,23.3120158715
549.5,23.3120158715
550,23.3120158715
550.5,23.3120158715
551,23.3120158715
551.5,23.3120158715
552,23.3120158715
552.5,23.3120158715
553,23.3120158715
553.5,23.3120158715
554,23.3120158715
554.5,23.3120158715
555,23.3120158715
555.5,23.3120158715
556,23.3120158715
556.5,23.3120158715
557,23.3120158715
557.5,23.3120158715
558,23.3120158715
558.5,23.3120158715
559,23.3120158715
559.5,23.3120158715
560,23.3120158715
560.5,23.3120158715
561,23.3120158715
561.5,23.3120158715
562,23.3120158715
562.5,23.3120158715
563,23.3120158715
563.5,23.3120158715
564,23.3120158715
564.5,23.3120158715
565,23.3120158715
565.5,23.3120158715
566,23.3120158715
566.5,23.3120158715
567,23.3120158715
567.5,23.3120158715
568,23.3120158715
568.5,23.3120158715
569,23.3120158715
569.5,23.3120158715
570,23.3120158715
570.5,23.3120158715
571,23.3120158715
571.5,23.3120158715
572,23.3120158715
572.5,23.3120158715
573,23.3120158715
573.5,23.3120158715
574,23.3120158715
574.5,23.3120158715
575,23.3120158715
575.5,23.3120158715
576,23.3120158715
576.5,23.3120158715
577,23.3120158715
577.5,23.3120158715
578,23.3120158715
578.5,23.3120158715
579,23.3120158715
579.5,23.3120158715
580,23.3120158715
580.5,23.3120158715
581,23.3120158715
581.5,23.3120158715
582,23.3120158715
582.5,23.3120158715
583,23.3120158715
583.5,23.3120158715
584,23.3120158715
584.5,23.3120158715
585,23.3120158715
585.5,23.3120158715
586,23.3120158715
586.5,23.3120158715
587,23.3120158715
587.5,23.3120158715
588,23.3120158715
588.5,23.3120158715
589,23.3120158715
589.5,23.3120158715
590,23.3120158715
590.5,23.3120158715
591,23.3745158724
591.5,23.3745158724
592,23.3745158724
592.5,23.3745158724
593,23.3745158724
593.5,23.3745158724
594,23.3120158715
594.5,23.3745158724
595,23.3745158724
595.5,23.3745158724
596,23.3745158724
596.5,23.3745158724
597,23.3745158724
597.5,23.3745158724
598,23.3745158724
598.5,23.3745158724
599,23.3745158724
599.5,23.3745158724
600,23.3745158724
600.5,23.3745158724
601,23.3745158724
601.5,23.3745158724
602,23.3745158724
