"Latest: Time (s)","Latest: Temperature (°C)"
0,20.7495158333
0.5,20.7495158333
1,20.7495158333
1.5,20.7495158333
2,20.7495158333
2.5,20.7495158333
3,20.7495158333
3.5,20.7495158333
4,20.7495158333
4.5,20.7495158333
5,20.7495158333
5.5,20.7495158333
6,20.7495158333
6.5,20.7495158333
7,20.7495158333
7.5,20.7495158333
8,20.7495158333
8.5,20.7495158333
9,20.7495158333
9.5,20.7495158333
10,20.7495158333
10.5,20.7495158333
11,20.7495158333
11.5,20.7495158333
12,20.7495158333
12.5,20.7495158333
13,20.7495158333
13.5,20.7495158333
14,20.7495158333
14.5,20.7495158333
15,20.7495158333
15.5,20.7495158333
16,20.7495158333
16.5,20.7495158333
17,20.7495158333
17.5,20.7495158333
18,20.7495158333
18.5,20.7495158333
19,20.7495158333
19.5,20.7495158333
20,20.7495158333
20.5,20.7495158333
21,20.7495158333
21.5,20.7495158333
22,20.7495158333
22.5,20.7495158333
23,20.7495158333
23.5,20.7495158333
24,20.7495158333
24.5,20.7495158333
25,20.7495158333
25.5,20.7495158333
26,20.7495158333
26.5,20.7495158333
27,20.7495158333
27.5,20.7495158333
28,20.7495158333
28.5,20.7495158333
29,20.7495158333
29.5,20.7495158333
30,20.7495158333
30.5,20.7495158333
31,20.7495158333
31.5,20.7495158333
32,20.7495158333
32.5,20.7495158333
33,20.7495158333
33.5,20.7495158333
34,20.7495158333
34.5,20.7495158333
35,20.7495158333
35.5,20.7495158333
36,20.7495158333
36.5,20.7495158333
37,20.7495158333
37.5,20.7495158333
38,20.7495158333
38.5,20.7495158333
39,20.7495158333
39.5,20.7495158333
40,20.7495158333
40.5,20.7495158333
41,20.7495158333
41.5,20.7495158333
42,20.7495158333
42.5,20.7495158333
43,20.7495158333
43.5,20.7495158333
44,20.7495158333
44.5,20.7495158333
45,20.7495158333
45.5,20.7495158333
46,20.7495158333
46.5,20.7495158333
47,20.7495158333
47.5,20.7495158333
48,20.7495158333
48.5,20.7495158333
49,20.7495158333
49.5,20.7495158333
50,20.7495158333
50.5,20.7495158333
51,20.7495158333
51.5,20.7495158333
52,20.7495158333
52.5,20.7495158333
53,20.7495158333
53.5,20.7495158333
54,20.7495158333
54.5,20.7495158333
55,20.7495158333
55.5,20.7495158333
56,20.7495158333
56.5,20.7495158333
57,20.7495158333
57.5,20.7495158333
58,20.7495158333
58.5,20.7495158333
59,20.7495158333
59.5,20.7495158333
60,20.7495158333
60.5,20.7495158333
61,20.7495158333
61.5,20.7495158333
62,20.7495158333
62.5,20.7495158333
63,20.7495158333
63.5,20.7495158333
64,20.7495158333
64.5,20.7495158333
65,20.7495158333
65.5,20.7495158333
66,20.7495158333
66.5,20.7495158333
67,20.7495158333
67.5,20.7495158333
68,20.7495158333
68.5,20.7495158333
69,20.7495158333
69.5,20.7495158333
70,20.7495158333
70.5,20.7495158333
71,20.7495158333
71.5,20.7495158333
72,20.7495158333
72.5,20.7495158333
73,20.7495158333
73.5,20.7495158333
74,20.7495158333
74.5,20.7495158333
75,20.7495158333
75.5,20.7495158333
76,20.7495158333
76.5,20.7495158333
77,20.7495158333
77.5,20.7495158333
78,20.7495158333
78.5,20.7495158333
79,20.7495158333
79.5,20.7495158333
80,20.7495158333
80.5,20.7495158333
81,20.7495158333
81.5,20.7495158333
82,20.7495158333
82.5,20.7495158333
83,20.7495158333
83.5,20.7495158333
84,20.7495158333
84.5,20.7495158333
85,20.7495158333
85.5,20.7495158333
86,20.7495158333
86.5,20.7495158333
87,20.7495158333
87.5,20.7495158333
88,20.7495158333
88.5,20.7495158333
89,20.7495158333
89.5,20.7495158333
90,20.7495158333
90.5,20.7495158333
91,20.7495158333
91.5,20.7495158333
92,20.7495158333
92.5,20.7495158333
93,20.7495158333
93.5,20.7495158333
94,20.7495158333
94.5,20.7495158333
95,20.7495158333
95.5,20.7495158333
96,20.7495158333
96.5,20.7495158333
97,20.7495158333
97.5,20.7495158333
98,20.7495158333
98.5,20.7495158333
99,20.7495158333
99.5,20.7495158333
100,20.7495158333
100.5,20.7495158333
101,20.7495158333
101.5,20.7495158333
102,20.7495158333
102.5,20.7495158333
103,20.7495158333
103.5,20.7495158333
104,20.7495158333
104.5,20.7495158333
105,20.7495158333
105.5,20.7495158333
106,20.7495158333
106.5,20.7495158333
107,20.7495158333
107.5,20.7495158333
108,20.7495158333
108.5,20.7495158333
109,20.7495158333
109.5,20.7495158333
110,20.7495158333
110.5,20.7495158333
111,20.7495158333
111.5,20.7495158333
112,20.7495158333
112.5,20.7495158333
113,20.7495158333
113.5,20.7495158333
114,20.7495158333
114.5,20.7495158333
115,20.7495158333
115.5,20.7495158333
116,20.7495158333
116.5,20.7495158333
117,20.7495158333
117.5,20.7495158333
118,20.7495158333
118.5,20.7495158333
119,20.7495158333
119.5,20.7495158333
120,20.7495158333
120.5,20.7495158333
121,20.7495158333
121.5,20.7495158333
122,20.7495158333
122.5,20.7495158333
123,20.7495158333
123.5,20.7495158333
124,20.7495158333
124.5,20.7495158333
125,20.7495158333
125.5,20.7495158333
126,20.7495158333
126.5,20.7495158333
127,20.7495158333
127.5,20.7495158333
128,20.7495158333
128.5,20.7495158333
129,20.7495158333
129.5,20.7495158333
130,20.7495158333
130.5,20.7495158333
131,20.7495158333
131.5,20.7495158333
132,20.7495158333
132.5,20.7495158333
133,20.7495158333
133.5,20.7495158333
134,20.7495158333
134.5,20.7495158333
135,20.7495158333
135.5,20.7495158333
136,20.7495158333
136.5,20.7495158333
137,20.7495158333
137.5,20.7495158333
138,20.7495158333
138.5,20.7495158333
139,20.7495158333
139.5,20.7495158333
140,20.7495158333
