"Latest: Time (s)","Latest: Temperature (°C)"
0,22.6870158622
0.5,22.6870158622
1,22.6870158622
1.5,22.6870158622
2,22.6870158622
2.5,22.6870158622
3,22.6870158622
3.5,22.6870158622
4,22.6870158622
4.5,22.6870158622
5,22.6870158622
5.5,22.6870158622
6,22.6870158622
6.5,22.6870158622
7,22.6870158622
7.5,22.6870158622
8,22.6870158622
8.5,22.6870158622
9,22.6870158622
9.5,22.6870158622
10,22.6870158622
10.5,22.6870158622
11,22.6870158622
11.5,22.6870158622
12,22.6870158622
12.5,22.6870158622
13,22.6870158622
13.5,22.6870158622
14,22.6870158622
14.5,22.6870158622
15,22.6870158622
15.5,22.6870158622
16,22.6870158622
16.5,22.6870158622
17,22.6870158622
17.5,22.6870158622
18,22.6870158622
18.5,22.6870158622
19,22.6870158622
19.5,22.6870158622
20,22.6870158622
20.5,22.6870158622
21,22.6870158622
21.5,22.6870158622
22,22.6870158622
22.5,22.6870158622
23,22.6870158622
23.5,22.6870158622
24,22.6870158622
24.5,22.6870158622
25,22.6870158622
25.5,22.6870158622
26,22.6870158622
26.5,22.6870158622
27,22.6870158622
27.5,22.6870158622
28,22.6870158622
28.5,22.6870158622
29,22.6870158622
29.5,22.6870158622
30,22.6870158622
30.5,22.6870158622
31,22.6870158622
31.5,22.6870158622
32,22.6870158622
32.5,22.6870158622
33,22.6870158622
33.5,22.6870158622
34,22.6870158622
34.5,22.6870158622
35,22.6870158622
35.5,22.6870158622
36,22.6870158622
36.5,22.6870158622
37,22.6870158622
37.5,22.6870158622
38,22.6870158622
38.5,22.6870158622
39,22.6870158622
39.5,22.6870158622
40,22.6870158622
40.5,22.6870158622
41,22.6870158622
41.5,22.6870158622
42,22.6870158622
42.5,22.6870158622
43,22.6870158622
43.5,22.6870158622
44,22.6870158622
44.5,22.6870158622
45,22.6870158622
45.5,22.6870158622
46,22.6870158622
46.5,22.6870158622
47,22.6870158622
47.5,22.6870158622
48,22.6870158622
48.5,22.6870158622
49,22.6870158622
49.5,22.6870158622
50,22.6870158622
50.5,22.6870158622
51,22.6870158622
51.5,22.6870158622
52,22.6870158622
52.5,22.6870158622
53,22.6870158622
53.5,22.6870158622
54,22.6870158622
54.5,22.6870158622
55,22.6870158622
55.5,22.6870158622
56,22.6870158622
56.5,22.6870158622
57,22.6870158622
57.5,22.6870158622
58,22.6870158622
58.5,22.6870158622
59,22.6870158622
59.5,22.6870158622
60,22.6870158622
60.5,22.6870158622
61,22.6870158622
61.5,22.6870158622
62,22.6870158622
62.5,22.6870158622
63,22.6870158622
63.5,22.6870158622
64,22.6870158622
64.5,22.6870158622
65,22.6870158622
65.5,22.6870158622
66,22.6870158622
66.5,22.6870158622
67,22.6870158622
67.5,22.6870158622
68,22.6870158622
68.5,22.6870158622
69,22.6870158622
69.5,22.6870158622
70,22.6870158622
70.5,22.6870158622
71,22.6870158622
71.5,22.6870158622
72,22.6870158622
72.5,22.6870158622
73,22.6870158622
73.5,22.6870158622
74,22.6870158622
74.5,22.6870158622
75,22.6870158622
75.5,22.6870158622
76,22.6870158622
76.5,22.6870158622
77,22.6870158622
77.5,22.6870158622
78,22.6870158622
78.5,22.6870158622
79,22.6870158622
79.5,22.6870158622
80,22.6870158622
80.5,22.6870158622
81,22.6870158622
81.5,22.6870158622
82,22.6870158622
82.5,22.6870158622
83,22.6870158622
83.5,22.6870158622
84,22.6870158622
84.5,22.6870158622
85,22.6870158622
85.5,22.6870158622
86,22.6870158622
86.5,22.6870158622
87,22.6870158622
87.5,22.6870158622
88,22.6870158622
88.5,22.6870158622
89,22.6870158622
89.5,22.6870158622
90,22.6870158622
90.5,22.6870158622
91,22.6870158622
91.5,22.6870158622
92,22.6870158622
92.5,22.6870158622
93,22.6870158622
93.5,22.6870158622
94,22.6870158622
94.5,22.6870158622
95,22.6870158622
95.5,22.6870158622
96,22.6870158622
96.5,22.6870158622
97,22.6870158622
97.5,22.6870158622
98,22.6870158622
98.5,22.6870158622
99,22.6870158622
99.5,22.6870158622
100,22.6870158622
100.5,22.6870158622
101,22.6870158622
101.5,22.6870158622
102,22.6870158622
102.5,22.6870158622
103,22.6870158622
103.5,22.6870158622
104,22.6870158622
104.5,22.6870158622
105,22.6870158622
105.5,22.6870158622
106,22.6870158622
106.5,22.6870158622
107,22.6870158622
107.5,22.6870158622
108,22.6870158622
108.5,22.6870158622
109,22.6870158622
109.5,22.6870158622
110,22.6870158622
110.5,22.6870158622
111,22.6870158622
111.5,22.6870158622
112,22.6870158622
112.5,22.6870158622
113,22.6870158622
113.5,22.6870158622
114,22.6870158622
114.5,22.6870158622
115,22.6870158622
115.5,22.6870158622
116,22.6870158622
116.5,22.6870158622
117,22.6870158622
117.5,22.6870158622
118,22.6870158622
118.5,22.6870158622
119,22.6870158622
119.5,22.6870158622
120,22.6870158622
120.5,22.6870158622
121,22.6870158622
121.5,22.6870158622
122,22.6870158622
122.5,22.6870158622
123,22.6870158622
123.5,22.6870158622
124,22.6870158622
124.5,22.6870158622
125,22.6870158622
125.5,22.6870158622
126,22.6870158622
126.5,22.6870158622
127,22.6870158622
127.5,22.6870158622
128,22.6870158622
128.5,22.6870158622
129,22.6870158622
129.5,22.6870158622
130,22.6870158622
130.5,22.6870158622
131,22.6870158622
131.5,22.6870158622
132,22.6870158622
132.5,22.6870158622
133,22.6870158622
133.5,22.6870158622
134,22.6870158622
134.5,22.6870158622
135,22.6870158622
135.5,22.6870158622
136,22.6870158622
136.5,22.6870158622
137,22.6870158622
137.5,22.6870158622
138,22.6870158622
138.5,22.6870158622
139,22.6870158622
139.5,22.6870158622
140,22.6870158622
140.5,22.6870158622
141,22.6870158622
141.5,22.6870158622
142,22.6870158622
142.5,22.6870158622
143,22.6870158622
143.5,22.6870158622
144,22.6870158622
144.5,22.6870158622
145,22.6870158622
145.5,22.6870158622
146,22.6870158622
