"Latest: Time (s)","Latest: Temperature (°C)"
0,20.7495158333
0.5,20.7495158333
1,20.7495158333
1.5,20.7495158333
2,20.7495158333
2.5,20.7495158333
3,20.7495158333
3.5,20.7495158333
4,20.7495158333
4.5,20.7495158333
5,20.7495158333
5.5,20.7495158333
6,20.7495158333
6.5,20.7495158333
7,20.7495158333
7.5,20.7495158333
8,20.7495158333
8.5,20.7495158333
9,20.7495158333
9.5,20.7495158333
10,20.7495158333
10.5,20.7495158333
11,20.7495158333
11.5,20.7495158333
12,20.7495158333
12.5,20.7495158333
13,20.7495158333
13.5,20.7495158333
14,20.7495158333
14.5,20.7495158333
15,20.7495158333
15.5,20.7495158333
16,20.7495158333
16.5,20.7495158333
17,20.7495158333
17.5,20.7495158333
18,20.7495158333
18.5,20.7495158333
19,20.7495158333
19.5,20.7495158333
20,20.7495158333
20.5,20.7495158333
21,20.7495158333
21.5,20.7495158333
22,20.7495158333
22.5,20.7495158333
23,20.7495158333
23.5,20.7495158333
24,20.7495158333
24.5,20.7495158333
25,20.7495158333
25.5,20.7495158333
26,20.7495158333
26.5,20.7495158333
27,20.7495158333
27.5,20.7495158333
28,20.7495158333
28.5,20.7495158333
29,20.7495158333
29.5,20.7495158333
30,20.7495158333
30.5,20.7495158333
31,20.7495158333
31.5,20.7495158333
32,20.7495158333
32.5,20.7495158333
33,20.7495158333
33.5,20.7495158333
34,20.7495158333
34.5,20.7495158333
35,20.7495158333
35.5,20.7495158333
36,20.7495158333
36.5,20.7495158333
37,20.7495158333
37.5,20.7495158333
38,20.7495158333
38.5,20.7495158333
39,20.7495158333
39.5,20.7495158333
40,20.7495158333
40.5,20.7495158333
41,20.7495158333
41.5,20.7495158333
42,20.7495158333
42.5,20.7495158333
43,20.7495158333
43.5,20.7495158333
44,20.7495158333
44.5,20.7495158333
45,20.7495158333
45.5,20.7495158333
46,20.7495158333
46.5,20.7495158333
47,20.7495158333
47.5,20.7495158333
48,20.7495158333
48.5,20.7495158333
49,20.7495158333
49.5,20.7495158333
50,20.7495158333
50.5,20.7495158333
51,20.7495158333
51.5,20.7495158333
52,20.7495158333
52.5,20.7495158333
53,20.7495158333
53.5,20.7495158333
54,20.7495158333
54.5,20.7495158333
55,20.7495158333
55.5,20.7495158333
56,20.7495158333
56.5,20.7495158333
57,20.7495158333
57.5,20.7495158333
58,20.7495158333
58.5,20.7495158333
59,20.7495158333
59.5,20.7495158333
60,20.7495158333
60.5,20.7495158333
61,20.7495158333
61.5,20.7495158333
62,20.7495158333
62.5,20.7495158333
63,20.7495158333
63.5,20.7495158333
64,20.7495158333
64.5,20.7495158333
65,20.7495158333
65.5,20.7495158333
66,20.7495158333
66.5,20.7495158333
67,20.7495158333
67.5,20.7495158333
68,20.7495158333
68.5,20.7495158333
69,20.7495158333
69.5,20.7495158333
70,20.7495158333
70.5,20.7495158333
71,20.7495158333
71.5,20.7495158333
72,20.7495158333
72.5,20.7495158333
73,20.7495158333
73.5,20.7495158333
74,20.7495158333
74.5,20.7495158333
75,20.7495158333
75.5,20.7495158333
76,20.7495158333
76.5,20.7495158333
77,20.7495158333
77.5,20.7495158333
78,20.7495158333
78.5,20.7495158333
79,20.7495158333
79.5,20.7495158333
80,20.7495158333
80.5,20.7495158333
81,20.7495158333
81.5,20.8120158343
82,20.7495158333
82.5,20.7495158333
83,20.7495158333
83.5,20.7495158333
84,20.7495158333
84.5,20.7495158333
85,20.8120158343
85.5,20.7495158333
86,20.7495158333
86.5,20.7495158333
87,20.8120158343
87.5,20.7495158333
88,20.7495158333
88.5,20.8120158343
89,20.7495158333
89.5,20.8120158343
90,20.7495158333
90.5,20.8120158343
91,20.7495158333
91.5,20.7495158333
92,20.8120158343
92.5,20.8120158343
93,20.8120158343
93.5,20.8120158343
94,20.8120158343
94.5,20.8120158343
95,20.8120158343
95.5,20.8120158343
96,20.8120158343
96.5,20.8120158343
97,20.8120158343
97.5,20.8120158343
98,20.8120158343
98.5,20.8120158343
99,20.8120158343
99.5,20.8120158343
100,20.8120158343
100.5,20.8120158343
101,20.8120158343
101.5,20.8120158343
102,20.8120158343
102.5,20.8120158343
103,20.8120158343
103.5,20.8120158343
104,20.8120158343
104.5,20.8120158343
105,20.8120158343
105.5,20.8120158343
106,20.8120158343
106.5,20.8120158343
107,20.8120158343
107.5,20.8120158343
108,20.8120158343
108.5,20.8120158343
109,20.8120158343
109.5,20.8120158343
110,20.8120158343
110.5,20.8120158343
111,20.8120158343
111.5,20.8120158343
112,20.8120158343
112.5,20.8120158343
113,20.8120158343
113.5,20.8120158343
114,20.8120158343
114.5,20.8120158343
115,20.7495158333
115.5,20.8120158343
116,20.8120158343
116.5,20.8120158343
117,20.8120158343
117.5,20.8120158343
118,20.8120158343
118.5,20.8120158343
119,20.8120158343
119.5,20.8120158343
120,20.8120158343
120.5,20.8120158343
121,20.8120158343
121.5,20.8120158343
122,20.8120158343
122.5,20.8120158343
123,20.8120158343
123.5,20.8120158343
124,20.8120158343
124.5,20.8120158343
125,20.8120158343
125.5,20.8120158343
126,20.8120158343
126.5,20.8120158343
127,20.8120158343
127.5,20.8120158343
128,20.8120158343
128.5,20.8120158343
129,20.8120158343
129.5,20.8120158343
130,20.8120158343
130.5,20.8120158343
131,20.8120158343
131.5,20.8120158343
132,20.8120158343
132.5,20.8120158343
133,20.8120158343
133.5,20.8120158343
134,20.8120158343
134.5,20.8120158343
135,20.8120158343
135.5,20.8120158343
136,20.8120158343
136.5,20.8120158343
137,20.8120158343
137.5,20.8120158343
138,20.8120158343
138.5,20.8120158343
139,20.8120158343
139.5,20.8120158343
140,20.8120158343
