"i2 0.1 nm mskieh - RawData"
"Wavelength nm.","Abs."
510.00,0.103
510.10,0.103
510.20,0.107
510.30,0.108
510.40,0.109
510.50,0.104
510.60,0.108
510.70,0.106
510.80,0.105
510.90,0.102
511.00,0.106
511.10,0.104
511.20,0.104
511.30,0.107
511.40,0.105
511.50,0.108
511.60,0.107
511.70,0.109
511.80,0.108
511.90,0.102
512.00,0.103
512.10,0.102
512.20,0.107
512.30,0.113
512.40,0.113
512.50,0.108
512.60,0.111
512.70,0.107
512.80,0.108
512.90,0.105
513.00,0.103
513.10,0.107
513.20,0.102
513.30,0.113
513.40,0.111
513.50,0.113
513.60,0.111
513.70,0.110
513.80,0.109
513.90,0.103
514.00,0.105
514.10,0.105
514.20,0.103
514.30,0.106
514.40,0.109
514.50,0.113
514.60,0.113
514.70,0.105
514.80,0.109
514.90,0.111
515.00,0.109
515.10,0.107
515.20,0.106
515.30,0.103
515.40,0.103
515.50,0.105
515.60,0.110
515.70,0.110
515.80,0.110
515.90,0.112
516.00,0.112
516.10,0.105
516.20,0.109
516.30,0.106
516.40,0.109
516.50,0.105
516.60,0.105
516.70,0.104
516.80,0.114
516.90,0.110
517.00,0.113
517.10,0.112
517.20,0.109
517.30,0.105
517.40,0.109
517.50,0.107
517.60,0.103
517.70,0.102
517.80,0.103
517.90,0.105
518.00,0.106
518.10,0.117
518.20,0.113
518.30,0.110
518.40,0.108
518.50,0.109
518.60,0.109
518.70,0.099
518.80,0.102
518.90,0.105
519.00,0.106
519.10,0.106
519.20,0.103
519.30,0.102
519.40,0.108
519.50,0.114
519.60,0.112
519.70,0.110
519.80,0.107
519.90,0.110
520.00,0.108
520.10,0.106
520.20,0.104
520.30,0.103
520.40,0.102
520.50,0.106
520.60,0.103
520.70,0.102
520.80,0.114
520.90,0.114
521.00,0.113
521.10,0.114
521.20,0.113
521.30,0.112
521.40,0.115
521.50,0.108
521.60,0.103
521.70,0.109
521.80,0.102
521.90,0.103
522.00,0.103
522.10,0.107
522.20,0.104
522.30,0.113
522.40,0.119
522.50,0.111
522.60,0.113
522.70,0.114
522.80,0.110
522.90,0.109
523.00,0.108
523.10,0.106
523.20,0.106
523.30,0.099
523.40,0.100
523.50,0.102
523.60,0.102
523.70,0.099
523.80,0.107
523.90,0.115
524.00,0.113
524.10,0.113
524.20,0.115
524.30,0.107
524.40,0.107
524.50,0.103
524.60,0.106
524.70,0.104
524.80,0.105
524.90,0.106
525.00,0.106
525.10,0.101
525.20,0.098
525.30,0.103
525.40,0.109
525.50,0.118
525.60,0.117
525.70,0.116
525.80,0.110
525.90,0.111
526.00,0.113
526.10,0.108
526.20,0.107
526.30,0.106
526.40,0.104
526.50,0.104
526.60,0.100
526.70,0.104
526.80,0.101
526.90,0.103
527.00,0.107
527.10,0.114
527.20,0.115
527.30,0.116
527.40,0.113
527.50,0.114
527.60,0.112
527.70,0.111
527.80,0.108
527.90,0.102
528.00,0.107
528.10,0.102
528.20,0.101
528.30,0.103
528.40,0.101
528.50,0.101
528.60,0.096
528.70,0.103
528.80,0.112
528.90,0.117
529.00,0.116
529.10,0.114
529.20,0.115
529.30,0.111
529.40,0.115
529.50,0.112
529.60,0.106
529.70,0.109
529.80,0.104
529.90,0.106
530.00,0.101
530.10,0.102
530.20,0.104
530.30,0.102
530.40,0.098
530.50,0.099
530.60,0.100
530.70,0.117
530.80,0.116
530.90,0.115
531.00,0.116
531.10,0.113
531.20,0.113
531.30,0.108
531.40,0.109
531.50,0.107
531.60,0.104
531.70,0.106
531.80,0.102
531.90,0.103
532.00,0.100
532.10,0.102
532.20,0.096
532.30,0.098
532.40,0.097
532.50,0.096
532.60,0.110
532.70,0.119
532.80,0.116
