"rpcc - RawData"
"Wavelength nm.","Abs."
510.00,0.109
510.10,0.104
510.20,0.110
510.30,0.112
510.40,0.113
510.50,0.110
510.60,0.106
510.70,0.109
510.80,0.107
510.90,0.109
511.00,0.108
511.10,0.106
511.20,0.108
511.30,0.112
511.40,0.110
511.50,0.109
511.60,0.111
511.70,0.108
511.80,0.110
511.90,0.106
512.00,0.105
512.10,0.106
512.20,0.111
512.30,0.116
512.40,0.116
512.50,0.112
512.60,0.114
512.70,0.111
512.80,0.112
512.90,0.109
513.00,0.104
513.10,0.108
513.20,0.105
513.30,0.116
513.40,0.115
513.50,0.116
513.60,0.114
513.70,0.115
513.80,0.112
513.90,0.106
514.00,0.109
514.10,0.106
514.20,0.104
514.30,0.103
514.40,0.112
514.50,0.117
514.60,0.113
514.70,0.108
514.80,0.115
514.90,0.112
515.00,0.113
515.10,0.112
515.20,0.112
515.30,0.106
515.40,0.105
515.50,0.109
515.60,0.116
515.70,0.118
515.80,0.111
515.90,0.113
516.00,0.114
516.10,0.109
516.20,0.114
516.30,0.107
516.40,0.107
516.50,0.109
516.60,0.109
516.70,0.106
516.80,0.116
516.90,0.117
517.00,0.117
517.10,0.111
517.20,0.112
517.30,0.109
517.40,0.111
517.50,0.111
517.60,0.111
517.70,0.101
517.80,0.108
517.90,0.106
518.00,0.103
518.10,0.115
518.20,0.119
518.30,0.112
518.40,0.111
518.50,0.111
518.60,0.113
518.70,0.108
518.80,0.104
518.90,0.106
519.00,0.110
519.10,0.111
519.20,0.109
519.30,0.105
519.40,0.115
519.50,0.117
519.60,0.112
519.70,0.112
519.80,0.112
519.90,0.113
520.00,0.111
520.10,0.110
520.20,0.108
520.30,0.105
520.40,0.107
520.50,0.111
520.60,0.106
520.70,0.104
520.80,0.115
520.90,0.119
521.00,0.113
521.10,0.115
521.20,0.116
521.30,0.116
521.40,0.117
521.50,0.112
521.60,0.108
521.70,0.109
521.80,0.105
521.90,0.108
522.00,0.106
522.10,0.109
522.20,0.106
522.30,0.115
522.40,0.120
522.50,0.112
522.60,0.117
522.70,0.116
522.80,0.114
522.90,0.110
523.00,0.111
523.10,0.108
523.20,0.109
523.30,0.102
523.40,0.104
523.50,0.105
523.60,0.109
523.70,0.107
523.80,0.118
523.90,0.117
524.00,0.118
524.10,0.116
524.20,0.115
524.30,0.116
524.40,0.109
524.50,0.106
524.60,0.109
524.70,0.111
524.80,0.109
524.90,0.105
525.00,0.104
525.10,0.108
525.20,0.098
525.30,0.109
525.40,0.118
525.50,0.117
525.60,0.119
525.70,0.120
525.80,0.108
525.90,0.114
526.00,0.115
526.10,0.112
526.20,0.110
526.30,0.110
526.40,0.108
526.50,0.105
526.60,0.104
526.70,0.106
526.80,0.101
526.90,0.104
527.00,0.119
527.10,0.122
527.20,0.116
527.30,0.113
527.40,0.118
527.50,0.115
527.60,0.116
527.70,0.113
527.80,0.111
527.90,0.105
528.00,0.111
528.10,0.106
528.20,0.102
528.30,0.105
528.40,0.101
528.50,0.105
528.60,0.101
528.70,0.104
528.80,0.115
528.90,0.123
529.00,0.119
529.10,0.118
529.20,0.115
529.30,0.117
529.40,0.117
529.50,0.113
529.60,0.109
529.70,0.110
529.80,0.111
529.90,0.108
530.00,0.106
530.10,0.104
530.20,0.107
530.30,0.101
530.40,0.101
530.50,0.100
530.60,0.109
530.70,0.119
530.80,0.119
530.90,0.117
531.00,0.120
531.10,0.116
531.20,0.116
531.30,0.113
531.40,0.111
531.50,0.110
531.60,0.105
531.70,0.105
531.80,0.102
531.90,0.108
532.00,0.103
532.10,0.107
532.20,0.098
532.30,0.102
532.40,0.105
532.50,0.102
532.60,0.120
532.70,0.123
532.80,0.121
532.90,0.119
533.00,0.117
533.10,0.115
533.20,0.109
533.30,0.114
533.40,0.107
533.50,0.105
533.60,0.106
533.70,0.103
533.80,0.104
533.90,0.107
