"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)"
380.16339752,0.00157548076923,380.16339752,0.00118942307692
380.376853754,0.00234110576923,380.376853754,0.00140817307692
380.590299363,0.00182860576923,380.590299363,0.00113942307692
380.803734346,0.00215360576923,380.803734346,0.00115817307692
381.017158699,0.00160360576923,381.017158699,0.000905048076923
381.230572419,0.00161298076923,381.230572419,0.00103629807692
381.443975504,0.00165985576923,381.443975504,0.000636298076923
381.657367951,0.00188798076923,381.657367951,0.00102692307692
381.870749757,0.00167860576923,381.870749757,0.00105192307692
382.08412092,0.00175985576923,382.08412092,0.00123004807692
382.297481437,0.00203798076923,382.297481437,0.00101442307692
382.510831304,0.00134735576923,382.510831304,0.00106442307692
382.72417052,0.00182548076923,382.72417052,0.00132259615385
382.937499081,0.00204110576923,382.937499081,0.00118629807692
383.150816985,0.00156923076923,383.150816985,0.000786298076923
383.364124229,0.00171610576923,383.364124229,0.00142692307692
383.577420811,0.00140985576923,383.577420811,0.00114254807692
383.790706726,0.00182235576923,383.790706726,0.000893990384615
384.003981974,0.00160985576923,384.003981974,0.000787259615385
384.21724655,0.00203798076923,384.21724655,0.00150504807692
384.430500452,0.00136923076923,384.430500452,0.000690865384615
384.643743678,0.00187860576923,384.643743678,0.00136129807692
384.856976225,0.00150360576923,384.856976225,0.000926923076923
385.070198089,0.00231610576923,385.070198089,0.00137379807692
385.283409269,0.00155673076923,385.283409269,0.000742548076923
385.496609761,0.00149423076923,385.496609761,0.00120192307692
385.709799563,0.00178485576923,385.709799563,0.00124567307692
385.922978672,0.00223173076923,385.922978672,0.00171129807692
386.136147085,0.00168173076923,386.136147085,0.00107019230769
386.349304799,0.00192860576923,386.349304799,0.00148629807692
386.562451812,0.00192548076923,386.562451812,0.00128629807692
386.775588121,0.00193485576923,386.775588121,0.00132379807692
386.988713723,0.00156923076923,386.988713723,0.000989423076923
387.201828615,0.00190360576923,387.201828615,0.00144567307692
387.414932795,0.00160985576923,387.414932795,0.000948798076923
387.62802626,0.00183173076923,387.62802626,0.000848798076923
387.841109007,0.00206923076923,387.841109007,0.00118004807692
388.054181033,0.00164110576923,388.054181033,0.000882451923077
388.267242336,0.00228798076923,388.267242336,0.00167692307692
388.480292913,0.00229423076923,388.480292913,0.00144879807692
388.693332761,0.00174423076923,388.693332761,0.00108413461538
388.906361877,0.00143173076923,388.906361877,0.000895673076923
389.119380259,0.00178485576923,389.119380259,0.000980048076923
389.332387904,0.00165985576923,389.332387904,0.000956009615385
389.545384809,0.00146610576923,389.545384809,0.000773798076923
389.758370971,0.00163798076923,389.758370971,0.00109254807692
389.971346388,0.00201923076923,389.971346388,0.000817548076923
390.184311056,0.00195673076923,390.184311056,0.00135192307692
390.397264974,0.00163173076923,390.397264974,0.000970673076923
390.610208138,0.00144110576923,390.610208138,0.000852884615385
390.823140546,0.00132860576923,390.823140546,0.000862740384615
391.036062194,0.00133173076923,391.036062194,0.000867548076923
391.24897308,0.00202235576923,391.24897308,0.00108629807692
391.461873202,0.00172860576923,391.461873202,0.00115600961538
391.674762556,0.00190985576923,391.674762556,0.00128629807692
391.88764114,0.00161298076923,391.88764114,0.00118942307692
392.100508951,0.00170048076923,392.100508951,0.00114567307692
392.313365987,0.00250673076923,392.313365987,0.00131442307692
392.526212243,0.00275048076923,392.526212243,0.00131754807692
392.739047719,0.00410360576923,392.739047719,0.00191754807692
392.951872411,0.00487235576923,392.951872411,0.00178942307692
393.164686316,0.00531610576923,393.164686316,0.00258629807692
393.377489431,0.00516610576923,393.377489431,0.00234254807692
393.590281754,0.00422548076923,393.590281754,0.00188317307692
393.803063282,0.00361610576923,393.803063282,0.00164879807692
394.015834013,0.00264735576923,394.015834013,0.00168317307692
394.228593943,0.00256923076923,394.228593943,0.00146754807692
394.441343069,0.00201298076923,394.441343069,0.00137692307692
394.65408139,0.00194423076923,394.65408139,0.000986298076923
394.866808902,0.00163798076923,394.866808902,0.000870673076923
395.079525602,0.00174735576923,395.079525602,0.000743269230769
395.292231488,0.00226298076923,395.292231488,0.000900240384615
395.504926557,0.00128798076923,395.504926557,0.000992548076923
395.717610806,0.00159110576923,395.717610806,0.000867548076923
395.930284233,0.00229735576923,395.930284233,0.000637259615385
396.142946834,0.00232548076923,396.142946834,0.00110817307692
396.355598607,0.00238485576923,396.355598607,0.000942548076923
396.56823955,0.00228798076923,396.56823955,0.00113004807692
396.780869659,0.00208173076923,396.780869659,0.000993509615385
396.993488931,0.00240985576923,396.993488931,0.00159567307692
397.206097365,0.00215048076923,397.206097365,0.00119567307692
397.418694957,0.00265360576923,397.418694957,0.00169254807692
397.631281704,0.00243173076923,397.631281704,0.00140504807692
397.843857603,0.00217860576923,397.843857603,0.00163004807692
398.056422653,0.00267548076923,398.056422653,0.00165192307692
398.26897685,0.00239423076923,398.26897685,0.00100697115385
398.481520191,0.00245673076923,398.481520191,0.00126129807692
398.694052674,0.00272235576923,398.694052674,0.00103004807692
398.906574296,0.00286923076923,398.906574296,0.00164326923077
399.119085054,0.00317860576923,399.119085054,0.00185504807692
399.331584945,0.00334110576923,399.331584945,0.00151754807692
399.544073967,0.00388485576923,399.544073967,0.00153629807692
399.756552117,0.00400673076923,399.756552117,0.00143004807692
399.969019392,0.00435048076923,399.969019392,0.00178629807692
400.181475789,0.00442860576923,400.181475789,0.00188317307692
