"Latest: Time (s)","Latest: Temperature (°C)"
0,24.3745159069
0.5,24.3745159069
1,24.3745159069
1.5,24.3745159069
2,24.3745159069
2.5,24.3745159069
3,24.3745159069
3.5,24.3745159069
4,24.3745159069
4.5,24.3745159069
5,24.3745159069
5.5,24.3745159069
6,24.3745159069
6.5,24.3745159069
7,24.3745159069
7.5,24.3745159069
8,24.3745159069
8.5,24.3745159069
9,24.3745159069
9.5,24.3745159069
10,24.3745159069
10.5,24.3745159069
11,24.3745159069
11.5,24.3745159069
12,24.3745159069
12.5,24.3745159069
13,24.3745159069
13.5,24.3745159069
14,24.3745159069
14.5,24.3745159069
15,24.3745159069
15.5,24.3745159069
16,24.3745159069
16.5,24.3745159069
17,24.3745159069
17.5,24.3745159069
18,24.3745159069
18.5,24.3745159069
19,24.3745159069
19.5,24.3745159069
20,24.3745159069
20.5,24.3745159069
21,24.3745159069
21.5,24.3745159069
22,24.3745159069
22.5,24.3745159069
23,24.3745159069
23.5,24.3745159069
24,24.3745159069
24.5,24.3745159069
25,24.3745159069
25.5,24.3745159069
26,24.3745159069
26.5,24.3745159069
27,24.3745159069
27.5,24.3745159069
28,24.3745159069
28.5,24.3745159069
29,24.3745159069
29.5,24.3745159069
30,24.3745159069
30.5,24.3745159069
31,24.3745159069
31.5,24.3745159069
32,24.3745159069
32.5,24.3745159069
33,24.3745159069
33.5,24.3745159069
34,24.3745159069
34.5,24.3745159069
35,24.3745159069
35.5,24.3745159069
36,24.3745159069
36.5,24.3745159069
37,24.3745159069
37.5,24.3745159069
38,24.3745159069
38.5,24.3745159069
39,24.3745159069
39.5,24.3745159069
40,24.3745159069
40.5,24.3745159069
41,24.3745159069
41.5,24.3745159069
42,24.3745159069
42.5,24.3745159069
43,24.3745159069
43.5,24.3745159069
44,24.3745159069
44.5,24.3745159069
45,24.3745159069
45.5,24.3745159069
46,24.3745159069
46.5,24.3745159069
47,24.3745159069
47.5,24.3745159069
48,24.3745159069
48.5,24.3745159069
49,24.3745159069
49.5,24.3745159069
50,24.3745159069
50.5,24.3745159069
51,24.3745159069
51.5,24.3745159069
52,24.3745159069
52.5,24.3745159069
53,24.3745159069
53.5,24.3745159069
54,24.3745159069
54.5,24.3745159069
55,24.3745159069
55.5,24.3745159069
56,24.3745159069
56.5,24.3745159069
57,24.3745159069
57.5,24.3745159069
58,24.3745159069
58.5,24.3745159069
59,24.3745159069
59.5,24.3745159069
60,24.3745159069
60.5,24.3745159069
61,24.3745159069
61.5,24.3745159069
62,24.3745159069
62.5,24.3745159069
63,24.3745159069
63.5,24.3745159069
64,24.3745159069
64.5,24.3745159069
65,24.3745159069
65.5,24.3745159069
66,24.3745159069
66.5,24.3745159069
67,24.3745159069
67.5,24.3745159069
68,24.3745159069
68.5,24.3745159069
69,24.3745159069
69.5,24.3745159069
70,24.3745159069
70.5,24.3745159069
71,24.3745159069
71.5,24.3745159069
72,24.3745159069
72.5,24.3745159069
73,24.3745159069
73.5,24.3745159069
74,24.3745159069
74.5,24.3745159069
75,24.3745159069
75.5,24.3745159069
76,24.3745159069
76.5,24.312015906
77,24.3745159069
77.5,24.3745159069
78,24.3745159069
78.5,24.3745159069
79,24.312015906
79.5,24.312015906
80,24.312015906
80.5,24.312015906
81,24.312015906
81.5,24.312015906
82,24.312015906
82.5,24.312015906
83,24.312015906
83.5,24.312015906
84,24.3745159069
84.5,24.312015906
85,24.312015906
85.5,24.312015906
86,24.312015906
86.5,24.312015906
87,24.312015906
87.5,24.312015906
88,24.312015906
88.5,24.312015906
89,24.312015906
89.5,24.312015906
90,24.312015906
90.5,24.312015906
91,24.312015906
91.5,24.312015906
92,24.312015906
92.5,24.3745159069
93,24.312015906
93.5,24.312015906
94,24.312015906
94.5,24.312015906
95,24.312015906
95.5,24.312015906
96,24.312015906
96.5,24.312015906
97,24.312015906
97.5,24.312015906
98,24.312015906
98.5,24.312015906
99,24.312015906
99.5,24.312015906
100,24.312015906
100.5,24.312015906
101,24.312015906
101.5,24.312015906
102,24.312015906
102.5,24.312015906
103,24.312015906
103.5,24.312015906
104,24.312015906
104.5,24.312015906
105,24.312015906
105.5,24.312015906
106,24.312015906
106.5,24.312015906
107,24.312015906
107.5,24.312015906
108,24.312015906
108.5,24.312015906
109,24.312015906
109.5,24.312015906
110,24.312015906
110.5,24.312015906
111,24.312015906
111.5,24.312015906
112,24.312015906
112.5,24.312015906
113,24.312015906
113.5,24.312015906
114,24.312015906
114.5,24.312015906
115,24.312015906
115.5,24.312015906
116,24.312015906
116.5,24.312015906
117,24.312015906
117.5,24.312015906
118,24.312015906
118.5,24.312015906
119,24.312015906
119.5,24.312015906
120,24.312015906
120.5,24.312015906
121,24.312015906
121.5,24.312015906
122,24.312015906
122.5,24.312015906
123,24.312015906
123.5,24.312015906
124,24.312015906
124.5,24.312015906
125,24.312015906
125.5,24.312015906
126,24.312015906
126.5,24.312015906
127,24.312015906
127.5,24.312015906
128,24.312015906
128.5,24.312015906
129,24.312015906
129.5,24.312015906
130,24.312015906
130.5,24.312015906
131,24.312015906
131.5,24.312015906
132,24.312015906
132.5,24.312015906
133,24.312015906
133.5,24.312015906
134,24.312015906
134.5,24.312015906
135,24.312015906
135.5,24.312015906
136,24.312015906
136.5,24.312015906
137,24.312015906
137.5,24.312015906
138,24.312015906
138.5,24.312015906
139,24.312015906
139.5,24.312015906
140,24.312015906
140.5,24.312015906
141,24.312015906
141.5,24.312015906
142,24.312015906
142.5,24.312015906
143,24.312015906
143.5,24.312015906
144,24.312015906
144.5,24.312015906
145,24.312015906
145.5,24.312015906
146,24.312015906
146.5,24.312015906
147,24.312015906
147.5,24.312015906
148,24.312015906
148.5,24.312015906
149,24.312015906
149.5,24.312015906
150,24.312015906
150.5,24.312015906
151,24.312015906
151.5,24.312015906
152,24.312015906
152.5,24.312015906
153,24.312015906
153.5,24.312015906
154,24.312015906
154.5,24.312015906
155,24.312015906
155.5,24.312015906
156,24.312015906
156.5,24.312015906
157,24.312015906
157.5,24.312015906
158,24.312015906
158.5,24.312015906
159,24.312015906
159.5,24.312015906
160,24.312015906
160.5,24.312015906
161,24.312015906
161.5,24.312015906
162,24.312015906
162.5,24.312015906
163,24.312015906
163.5,24.312015906
164,24.312015906
164.5,24.312015906
165,24.312015906
165.5,24.312015906
166,24.312015906
166.5,24.312015906
167,24.312015906
167.5,24.312015906
168,24.312015906
168.5,24.312015906
169,24.312015906
169.5,24.312015906
170,24.312015906
170.5,24.312015906
171,24.312015906
171.5,24.312015906
172,24.312015906
172.5,24.312015906
173,24.312015906
173.5,24.312015906
174,24.312015906
174.5,24.312015906
175,24.312015906
175.5,24.312015906
176,24.312015906
176.5,24.312015906
177,24.312015906
177.5,24.312015906
178,24.312015906
178.5,24.312015906
179,24.312015906
179.5,24.312015906
180,24.312015906
180.5,24.312015906
181,24.312015906
181.5,24.312015906
182,24.312015906
182.5,24.312015906
183,24.312015906
183.5,24.312015906
184,24.312015906
184.5,24.312015906
185,24.312015906
185.5,24.312015906
186,24.312015906
186.5,24.312015906
187,24.312015906
187.5,24.312015906
188,24.312015906
188.5,24.312015906
189,24.312015906
189.5,24.312015906
190,24.312015906
190.5,24.312015906
191,24.312015906
191.5,24.312015906
192,24.312015906
192.5,24.312015906
193,24.312015906
193.5,24.312015906
194,24.312015906
194.5,24.312015906
195,24.312015906
195.5,24.312015906
196,24.312015906
196.5,24.312015906
197,24.312015906
197.5,24.312015906
198,24.312015906
198.5,24.312015906
199,24.312015906
199.5,24.312015906
200,24.312015906
200.5,24.312015906
201,24.312015906
201.5,24.312015906
202,24.312015906
202.5,24.312015906
203,24.312015906
203.5,24.312015906
204,24.312015906
204.5,24.312015906
205,24.312015906
205.5,24.312015906
206,24.312015906
206.5,24.312015906
207,24.312015906
207.5,24.312015906
208,24.312015906
208.5,24.312015906
209,24.312015906
209.5,24.312015906
210,24.312015906
210.5,24.312015906
211,24.312015906
211.5,24.312015906
212,24.312015906
212.5,24.312015906
213,24.312015906
213.5,24.312015906
214,24.312015906
214.5,24.312015906
215,24.312015906
215.5,24.312015906
216,24.312015906
216.5,24.312015906
217,24.312015906
217.5,24.312015906
218,24.312015906
218.5,24.312015906
219,24.312015906
219.5,24.312015906
220,24.312015906
220.5,24.312015906
221,24.312015906
221.5,24.312015906
222,24.312015906
222.5,24.312015906
223,24.312015906
223.5,24.312015906
224,24.312015906
224.5,24.312015906
225,24.312015906
225.5,24.312015906
226,24.312015906
226.5,24.312015906
227,24.312015906
227.5,24.312015906
228,24.312015906
228.5,24.312015906
229,24.312015906
229.5,24.312015906
230,24.312015906
230.5,24.312015906
231,24.312015906
231.5,24.312015906
232,24.312015906
232.5,24.312015906
233,24.312015906
233.5,24.312015906
234,24.312015906
234.5,24.312015906
235,24.312015906
235.5,24.312015906
236,24.312015906
236.5,24.312015906
237,24.312015906
237.5,24.312015906
238,24.312015906
238.5,24.312015906
239,24.312015906
239.5,24.312015906
240,24.312015906
240.5,24.312015906
241,24.312015906
241.5,24.312015906
242,24.312015906
242.5,24.312015906
243,24.312015906
243.5,24.312015906
244,24.312015906
244.5,24.312015906
245,24.312015906
245.5,24.312015906
246,24.312015906
246.5,24.312015906
247,24.312015906
247.5,24.312015906
248,24.312015906
248.5,24.312015906
249,24.312015906
249.5,24.312015906
250,24.312015906
250.5,24.312015906
251,24.312015906
251.5,24.312015906
252,24.312015906
252.5,24.312015906
253,24.312015906
253.5,24.312015906
254,24.312015906
254.5,24.312015906
255,24.312015906
255.5,24.312015906
256,24.312015906
256.5,24.312015906
257,24.312015906
257.5,24.312015906
258,24.312015906
258.5,24.312015906
259,24.312015906
259.5,24.312015906
260,24.312015906
260.5,24.312015906
261,24.312015906
261.5,24.312015906
262,24.312015906
262.5,24.312015906
263,24.312015906
263.5,24.312015906
264,24.312015906
264.5,24.312015906
265,24.312015906
265.5,24.312015906
266,24.312015906
266.5,24.312015906
267,24.312015906
267.5,24.312015906
268,24.312015906
268.5,24.312015906
269,24.312015906
269.5,24.312015906
270,24.312015906
270.5,24.312015906
271,24.312015906
271.5,24.312015906
272,24.312015906
272.5,24.312015906
273,24.312015906
273.5,24.312015906
274,24.312015906
274.5,24.312015906
275,24.312015906
275.5,24.312015906
276,24.312015906
276.5,24.312015906
277,24.312015906
277.5,24.312015906
278,24.312015906
278.5,24.312015906
279,24.312015906
279.5,24.312015906
280,24.312015906
280.5,24.312015906
281,24.312015906
281.5,24.312015906
282,24.312015906
282.5,24.312015906
283,24.312015906
283.5,24.312015906
284,24.312015906
284.5,24.312015906
285,24.312015906
285.5,24.312015906
286,24.312015906
286.5,24.312015906
287,24.312015906
287.5,24.312015906
288,24.312015906
288.5,24.312015906
289,24.312015906
289.5,24.312015906
290,24.312015906
290.5,24.312015906
291,24.312015906
291.5,24.312015906
292,24.312015906
292.5,24.312015906
293,24.312015906
293.5,24.312015906
294,24.312015906
294.5,24.312015906
295,24.312015906
295.5,24.312015906
296,24.312015906
296.5,24.312015906
297,24.312015906
297.5,24.312015906
298,24.312015906
298.5,24.312015906
299,24.312015906
299.5,24.312015906
300,24.312015906
300.5,24.312015906
301,24.312015906
301.5,24.312015906
302,24.312015906
302.5,24.312015906
303,24.312015906
303.5,24.312015906
304,24.312015906
304.5,24.312015906
305,24.312015906
305.5,24.312015906
306,24.312015906
306.5,24.312015906
307,24.312015906
307.5,24.312015906
308,24.312015906
308.5,24.312015906
309,24.312015906
309.5,24.312015906
310,24.312015906
310.5,24.312015906
311,24.312015906
311.5,24.312015906
312,24.312015906
312.5,24.312015906
313,24.312015906
313.5,24.312015906
314,24.312015906
314.5,24.312015906
315,24.312015906
315.5,24.312015906
316,24.312015906
316.5,24.312015906
317,24.312015906
317.5,24.312015906
318,24.312015906
318.5,24.312015906
319,24.312015906
319.5,24.312015906
320,24.312015906
320.5,24.312015906
321,24.312015906
321.5,24.312015906
322,24.312015906
322.5,24.312015906
323,24.312015906
323.5,24.312015906
324,24.312015906
324.5,24.312015906
325,24.312015906
325.5,24.312015906
326,24.312015906
326.5,24.312015906
327,24.312015906
327.5,24.312015906
328,24.312015906
328.5,24.312015906
329,24.312015906
329.5,24.312015906
330,24.312015906
330.5,24.312015906
331,24.312015906
331.5,24.312015906
332,24.312015906
332.5,24.312015906
333,24.312015906
333.5,24.3745159069
334,24.3745159069
334.5,24.3745159069
335,24.3745159069
335.5,24.3745159069
336,24.3745159069
336.5,24.3745159069
337,24.3745159069
337.5,24.3745159069
338,24.3745159069
338.5,24.3745159069
339,24.3745159069
339.5,24.3745159069
340,24.3745159069
340.5,24.3745159069
341,24.3745159069
341.5,24.3745159069
342,24.3745159069
342.5,24.3745159069
343,24.3745159069
343.5,24.3745159069
344,24.3745159069
344.5,24.3745159069
345,24.3745159069
345.5,24.3745159069
346,24.3745159069
346.5,24.3745159069
347,24.3745159069
347.5,24.3745159069
348,24.4370159078
348.5,24.4370159078
349,24.4370159078
349.5,24.4370159078
350,24.4370159078
350.5,24.4370159078
351,24.4370159078
351.5,24.4370159078
352,24.4370159078
352.5,24.4370159078
353,24.4370159078
353.5,24.4370159078
354,24.4370159078
354.5,24.4370159078
355,24.4370159078
355.5,24.4370159078
356,24.4370159078
356.5,24.4370159078
357,24.4370159078
357.5,24.4370159078
358,24.4370159078
358.5,24.4370159078
359,24.4370159078
359.5,24.4370159078
360,24.4370159078
360.5,24.4370159078
361,24.4370159078
361.5,24.4370159078
362,24.4370159078
362.5,24.4370159078
363,24.4370159078
363.5,24.4370159078
364,24.4370159078
364.5,24.4370159078
365,24.4370159078
365.5,24.4370159078
366,24.4370159078
366.5,24.4370159078
367,24.4370159078
367.5,24.4370159078
368,24.4995159088
368.5,24.4995159088
369,24.4995159088
369.5,24.4995159088
370,24.4995159088
370.5,24.4995159088
371,24.4995159088
371.5,24.4995159088
372,24.4995159088
372.5,24.4995159088
373,24.4995159088
373.5,24.4995159088
374,24.4995159088
374.5,24.4995159088
375,24.4995159088
375.5,24.4995159088
376,24.4995159088
376.5,24.4995159088
377,24.4995159088
377.5,24.4995159088
378,24.4995159088
378.5,24.4995159088
379,24.4995159088
379.5,24.4995159088
380,24.4995159088
380.5,24.4995159088
381,24.4995159088
381.5,24.4995159088
382,24.4995159088
382.5,24.4995159088
383,24.4995159088
383.5,24.4995159088
384,24.4995159088
384.5,24.4995159088
385,24.4995159088
385.5,24.4995159088
386,24.4995159088
386.5,24.4995159088
387,24.4995159088
387.5,24.4995159088
388,24.4995159088
388.5,24.4995159088
389,24.4995159088
389.5,24.4995159088
390,24.4995159088
390.5,24.4995159088
391,24.5620159097
391.5,24.5620159097
392,24.5620159097
392.5,24.5620159097
393,24.5620159097
393.5,24.5620159097
394,24.5620159097
394.5,24.5620159097
395,24.5620159097
395.5,24.5620159097
396,24.5620159097
396.5,24.5620159097
397,24.5620159097
397.5,24.5620159097
398,24.5620159097
398.5,24.5620159097
399,24.5620159097
399.5,24.5620159097
400,24.5620159097
400.5,24.5620159097
401,24.5620159097
401.5,24.5620159097
402,24.5620159097
402.5,24.5620159097
403,24.5620159097
403.5,24.5620159097
404,24.5620159097
404.5,24.5620159097
405,24.5620159097
405.5,24.5620159097
406,24.5620159097
406.5,24.5620159097
407,24.5620159097
407.5,24.5620159097
408,24.5620159097
408.5,24.5620159097
409,24.5620159097
409.5,24.5620159097
410,24.5620159097
410.5,24.5620159097
411,24.5620159097
411.5,24.5620159097
412,24.5620159097
412.5,24.5620159097
413,24.5620159097
413.5,24.5620159097
414,24.5620159097
414.5,24.5620159097
415,24.5620159097
415.5,24.5620159097
416,24.5620159097
416.5,24.5620159097
417,24.5620159097
417.5,24.5620159097
418,24.5620159097
418.5,24.5620159097
419,24.5620159097
419.5,24.5620159097
420,24.5620159097
420.5,24.5620159097
421,24.5620159097
421.5,24.5620159097
422,24.5620159097
422.5,24.5620159097
423,24.5620159097
423.5,24.5620159097
424,24.5620159097
424.5,24.5620159097
425,24.5620159097
425.5,24.5620159097
426,24.5620159097
426.5,24.5620159097
427,24.5620159097
427.5,24.5620159097
428,24.5620159097
428.5,24.5620159097
429,24.5620159097
429.5,24.5620159097
430,24.6245159106
430.5,24.5620159097
431,24.5620159097
431.5,24.6245159106
432,24.5620159097
432.5,24.5620159097
433,24.6245159106
433.5,24.6245159106
434,24.6245159106
434.5,24.6245159106
435,24.6245159106
435.5,24.6245159106
436,24.6245159106
436.5,24.6245159106
437,24.6245159106
437.5,24.6245159106
438,24.6245159106
438.5,24.6245159106
439,24.6245159106
439.5,24.6245159106
440,24.6245159106
440.5,24.6245159106
441,24.6245159106
441.5,24.6245159106
442,24.6245159106
442.5,24.6245159106
443,24.6245159106
443.5,24.6245159106
444,24.6245159106
444.5,24.6245159106
445,24.6245159106
445.5,24.6245159106
446,24.6245159106
446.5,24.6245159106
447,24.6245159106
447.5,24.6245159106
448,24.6245159106
448.5,24.6245159106
449,24.6245159106
449.5,24.6245159106
450,24.6245159106
450.5,24.6245159106
451,24.6245159106
451.5,24.6245159106
452,24.6245159106
452.5,24.6245159106
453,24.6245159106
453.5,24.6245159106
454,24.6245159106
454.5,24.6245159106
455,24.6245159106
455.5,24.6245159106
456,24.6245159106
456.5,24.6245159106
457,24.6245159106
457.5,24.6245159106
458,24.6245159106
458.5,24.6245159106
459,24.6245159106
459.5,24.6245159106
460,24.6245159106
460.5,24.6245159106
461,24.6245159106
461.5,24.6245159106
462,24.6245159106
462.5,24.6245159106
463,24.6245159106
463.5,24.6245159106
464,24.6245159106
464.5,24.6245159106
465,24.6245159106
465.5,24.6245159106
466,24.6245159106
466.5,24.6245159106
467,24.6245159106
467.5,24.6245159106
468,24.6245159106
468.5,24.6245159106
469,24.6245159106
469.5,24.6245159106
470,24.6245159106
470.5,24.6245159106
471,24.6245159106
471.5,24.6245159106
472,24.6245159106
472.5,24.6245159106
473,24.6245159106
473.5,24.6245159106
474,24.6245159106
474.5,24.6245159106
475,24.6245159106
475.5,24.6245159106
476,24.6245159106
476.5,24.6245159106
477,24.6245159106
477.5,24.6245159106
478,24.6245159106
478.5,24.6245159106
479,24.6245159106
479.5,24.6245159106
480,24.6245159106
480.5,24.6245159106
481,24.6245159106
481.5,24.6245159106
482,24.6245159106
482.5,24.6245159106
483,24.6245159106
483.5,24.6245159106
484,24.6245159106
484.5,24.6245159106
485,24.6245159106
485.5,24.6245159106
486,24.6245159106
486.5,24.6245159106
487,24.6245159106
487.5,24.6245159106
488,24.6245159106
488.5,24.6245159106
489,24.6245159106
489.5,24.6245159106
490,24.6245159106
490.5,24.6245159106
491,24.6245159106
491.5,24.6245159106
492,24.6245159106
492.5,24.6245159106
493,24.6245159106
493.5,24.6245159106
494,24.6245159106
494.5,24.6245159106
495,24.6245159106
495.5,24.6245159106
496,24.6245159106
496.5,24.6245159106
497,24.6245159106
497.5,24.6245159106
498,24.6245159106
498.5,24.6245159106
499,24.6245159106
499.5,24.6245159106
500,24.6245159106
500.5,24.6245159106
501,24.6245159106
501.5,24.6245159106
502,24.6245159106
502.5,24.6245159106
503,24.6245159106
503.5,24.6245159106
504,24.6245159106
504.5,24.6870159116
505,24.6245159106
505.5,24.6245159106
506,24.6245159106
506.5,24.6245159106
507,24.6245159106
507.5,24.6245159106
508,24.6245159106
508.5,24.6245159106
509,24.6245159106
509.5,24.6245159106
510,24.6870159116
510.5,24.6245159106
511,24.6245159106
511.5,24.6870159116
512,24.6870159116
512.5,24.6870159116
513,24.6870159116
513.5,24.6870159116
514,24.6870159116
514.5,24.6870159116
515,24.6870159116
515.5,24.6870159116
516,24.6245159106
516.5,24.6870159116
517,24.6870159116
517.5,24.6870159116
518,24.6245159106
518.5,24.6245159106
519,24.6870159116
519.5,24.6245159106
520,24.6870159116
520.5,24.6870159116
521,24.6870159116
521.5,24.6870159116
522,24.6870159116
522.5,24.6870159116
523,24.6870159116
523.5,24.6870159116
524,24.6870159116
524.5,24.6870159116
525,24.6870159116
525.5,24.6870159116
526,24.6870159116
526.5,24.6245159106
527,24.6870159116
527.5,24.6870159116
528,24.6870159116
528.5,24.6870159116
529,24.6870159116
529.5,24.6870159116
530,24.6870159116
530.5,24.6870159116
531,24.6870159116
531.5,24.6870159116
532,24.6870159116
532.5,24.6870159116
533,24.6870159116
533.5,24.6870159116
534,24.6870159116
534.5,24.6870159116
535,24.6870159116
535.5,24.6870159116
536,24.6870159116
536.5,24.6870159116
537,24.6870159116
537.5,24.6870159116
538,24.6870159116
538.5,24.6870159116
539,24.6870159116
539.5,24.6870159116
540,24.6870159116
540.5,24.6870159116
541,24.6870159116
541.5,24.6870159116
542,24.6870159116
542.5,24.6870159116
543,24.6870159116
543.5,24.6870159116
544,24.6870159116
544.5,24.6870159116
545,24.6870159116
545.5,24.6870159116
546,24.6870159116
546.5,24.6870159116
547,24.6870159116
547.5,24.6870159116
548,24.6870159116
548.5,24.6870159116
549,24.6870159116
549.5,24.6870159116
550,24.6870159116
550.5,24.6870159116
551,24.6870159116
551.5,24.6870159116
552,24.6870159116
552.5,24.6870159116
553,24.6870159116
553.5,24.6870159116
554,24.6870159116
554.5,24.6870159116
555,24.6870159116
555.5,24.6870159116
556,24.6870159116
556.5,24.6870159116
557,24.6870159116
557.5,24.6870159116
558,24.6870159116
558.5,24.6870159116
559,24.6870159116
559.5,24.6870159116
560,24.6870159116
560.5,24.6870159116
561,24.6870159116
561.5,24.6870159116
562,24.6870159116
562.5,24.6870159116
563,24.6870159116
563.5,24.6870159116
564,24.6870159116
564.5,24.6870159116
565,24.6870159116
565.5,24.6870159116
566,24.6870159116
566.5,24.6870159116
