"Latest: Time (s)","Latest: Temperature (°C)"
0,20.9370158557
0.5,20.9370158557
1,20.9370158557
1.5,20.9370158557
2,20.9370158557
2.5,20.9370158557
3,20.9370158557
3.5,20.9370158557
4,20.9370158557
4.5,20.9370158557
5,20.9370158557
5.5,20.9370158557
6,20.9370158557
6.5,20.9370158557
7,20.9370158557
7.5,20.9370158557
8,20.9370158557
8.5,20.9370158557
9,20.9370158557
9.5,20.9370158557
10,20.9370158557
10.5,20.9370158557
11,20.9370158557
11.5,20.9370158557
12,20.9370158557
12.5,20.9370158557
13,20.9370158557
13.5,20.9370158557
14,20.9370158557
14.5,20.9370158557
15,20.9370158557
15.5,20.9370158557
16,20.9370158557
16.5,20.9370158557
17,20.9370158557
17.5,20.9370158557
18,20.9370158557
18.5,20.9370158557
19,20.9370158557
19.5,20.9370158557
20,20.9370158557
20.5,20.9370158557
21,20.9370158557
21.5,20.9370158557
22,20.9370158557
22.5,20.9370158557
23,20.9370158557
23.5,20.9370158557
24,20.9370158557
24.5,20.9370158557
25,20.9370158557
25.5,20.9370158557
26,20.9370158557
26.5,20.9370158557
27,20.9370158557
27.5,20.9370158557
28,20.9370158557
28.5,20.9370158557
29,20.9370158557
29.5,20.9370158557
30,20.9370158557
30.5,20.9370158557
31,20.9370158557
31.5,20.9370158557
32,20.9370158557
32.5,20.9370158557
33,20.9370158557
33.5,20.9370158557
34,20.9370158557
34.5,20.9370158557
35,20.9370158557
35.5,20.9370158557
36,20.9370158557
36.5,20.9370158557
37,20.9370158557
37.5,20.9370158557
38,20.9370158557
38.5,20.9370158557
39,20.9370158557
39.5,20.9370158557
40,20.9370158557
40.5,20.9370158557
41,20.9370158557
41.5,20.9370158557
42,20.9370158557
42.5,20.9370158557
43,20.9370158557
43.5,20.9370158557
44,20.9370158557
44.5,20.9370158557
45,20.9370158557
45.5,20.9370158557
46,20.9370158557
46.5,20.9370158557
47,20.9370158557
47.5,20.9370158557
48,20.9370158557
48.5,20.9370158557
49,20.9370158557
49.5,20.9370158557
50,20.9370158557
50.5,20.9370158557
51,20.9370158557
51.5,20.9370158557
52,20.9370158557
52.5,20.9370158557
53,20.9370158557
53.5,20.9370158557
54,20.9370158557
54.5,20.9370158557
55,20.9370158557
55.5,20.9370158557
56,20.9370158557
56.5,20.9370158557
57,20.9370158557
57.5,20.9370158557
58,20.9370158557
58.5,20.9370158557
59,20.9370158557
59.5,20.9370158557
60,20.9370158557
60.5,20.9370158557
61,20.9370158557
61.5,20.9370158557
62,20.9370158557
62.5,20.9370158557
63,20.9370158557
63.5,20.9370158557
64,20.9370158557
64.5,20.9370158557
65,20.9370158557
65.5,20.9370158557
66,20.9370158557
66.5,20.9370158557
67,20.9370158557
67.5,20.9370158557
68,20.9370158557
68.5,20.9370158557
69,20.9370158557
69.5,20.9370158557
70,20.9370158557
70.5,20.9370158557
71,20.9370158557
71.5,20.9370158557
72,20.9370158557
72.5,20.9370158557
73,20.9370158557
73.5,20.9370158557
74,20.9370158557
74.5,20.9370158557
