"Latest: Time (s)","Latest: Temperature (°C)"
0,23.4370158929
0.5,23.4370158929
1,23.4995158939
1.5,23.5620158948
2,23.6245158957
2.5,23.6245158957
3,23.6870158967
3.5,23.6870158967
4,23.7495158976
4.5,23.7495158976
5,23.8120158985
5.5,23.8120158985
6,23.8120158985
6.5,23.8120158985
7,23.8120158985
7.5,23.8745158995
8,23.8745158995
8.5,23.8745158995
9,23.8745158995
9.5,23.8745158995
10,23.8745158995
10.5,23.8745158995
11,23.8745158995
11.5,23.8745158995
12,23.8745158995
12.5,23.8745158995
13,23.9370159004
13.5,23.9370159004
14,23.9370159004
14.5,23.9370159004
15,23.9370159004
15.5,23.9370159004
16,23.9370159004
16.5,23.9370159004
17,23.9370159004
17.5,23.9370159004
18,23.9370159004
18.5,23.9370159004
19,23.9370159004
19.5,23.9370159004
20,23.9370159004
20.5,23.9370159004
21,23.9370159004
21.5,23.9370159004
22,23.9370159004
22.5,23.9370159004
23,23.9370159004
23.5,23.9370159004
24,23.9370159004
24.5,23.9370159004
25,23.9370159004
25.5,23.9370159004
26,23.9370159004
26.5,23.9370159004
27,23.9370159004
27.5,23.9370159004
28,23.9370159004
28.5,23.9370159004
29,23.9370159004
29.5,23.9370159004
30,23.9370159004
30.5,23.9370159004
31,23.9370159004
31.5,23.9370159004
32,23.9370159004
32.5,23.9370159004
33,23.9370159004
33.5,23.9370159004
34,23.9370159004
34.5,23.9370159004
35,23.9370159004
35.5,23.9370159004
36,23.9370159004
36.5,23.9370159004
37,23.9370159004
37.5,23.9370159004
38,23.9370159004
38.5,23.9370159004
39,23.9370159004
39.5,23.9370159004
40,23.9370159004
40.5,23.9370159004
41,23.9370159004
41.5,23.9370159004
42,23.9370159004
42.5,23.9370159004
43,23.9370159004
43.5,23.9370159004
44,23.9370159004
44.5,23.9370159004
45,23.9370159004
45.5,23.9370159004
46,23.9370159004
46.5,23.9370159004
47,23.9370159004
47.5,23.9370159004
48,23.9370159004
48.5,23.9370159004
49,23.9370159004
49.5,23.9370159004
50,23.9370159004
50.5,23.9370159004
51,23.9370159004
51.5,23.9370159004
52,23.9370159004
52.5,23.9370159004
53,23.9370159004
53.5,23.9370159004
54,23.9370159004
54.5,23.9370159004
55,23.9370159004
55.5,23.9370159004
56,23.9370159004
56.5,23.9370159004
57,23.9370159004
57.5,23.9370159004
58,23.9370159004
58.5,23.9370159004
59,23.9370159004
59.5,23.9370159004
60,23.9370159004
60.5,23.9370159004
61,23.9370159004
61.5,23.9370159004
62,23.9370159004
62.5,23.9370159004
63,23.9370159004
63.5,23.9370159004
64,23.9370159004
64.5,23.9370159004
65,23.9370159004
65.5,23.9370159004
66,23.9370159004
66.5,23.9370159004
67,23.9370159004
67.5,23.9370159004
68,23.9370159004
68.5,23.9370159004
69,23.9370159004
69.5,23.9370159004
70,23.9370159004
70.5,23.9370159004
71,23.9370159004
71.5,23.9370159004
72,23.9370159004
72.5,23.9370159004
73,23.9370159004
73.5,23.9370159004
74,23.9370159004
74.5,23.9370159004
75,23.9370159004
75.5,23.9370159004
76,23.9370159004
76.5,23.9370159004
77,23.9370159004
77.5,23.9370159004
78,23.9370159004
78.5,23.9370159004
79,23.9370159004
79.5,23.9370159004
80,23.9370159004
80.5,23.9370159004
81,23.9370159004
81.5,23.9370159004
82,23.9370159004
82.5,23.9370159004
83,23.9370159004
83.5,23.9370159004
84,23.9370159004
84.5,23.9370159004
85,23.9370159004
85.5,23.9370159004
86,23.9370159004
86.5,23.9370159004
87,23.9370159004
87.5,23.9370159004
88,23.9370159004
88.5,23.9370159004
89,23.9370159004
89.5,23.9370159004
90,23.9370159004
90.5,23.9370159004
91,23.9370159004
91.5,23.9370159004
92,23.9370159004
92.5,23.9370159004
93,23.9370159004
93.5,23.9370159004
94,23.9370159004
94.5,23.9370159004
95,23.9370159004
95.5,23.9370159004
96,23.9370159004
96.5,23.9370159004
97,23.9370159004
97.5,23.9370159004
98,23.9370159004
98.5,23.9370159004
99,23.9370159004
99.5,23.9370159004
100,23.9370159004
100.5,23.9370159004
101,23.9370159004
101.5,23.9370159004
102,23.9370159004
102.5,23.9370159004
103,23.9370159004
103.5,23.9370159004
104,23.9370159004
104.5,23.9370159004
105,23.9370159004
105.5,23.9370159004
106,23.9370159004
106.5,23.9370159004
107,23.9370159004
107.5,23.9370159004
108,23.9370159004
108.5,23.9370159004
109,23.9370159004
109.5,23.9370159004
110,23.9370159004
110.5,23.9370159004
111,23.9370159004
111.5,23.9370159004
112,23.9370159004
112.5,23.9370159004
113,23.9370159004
113.5,23.9370159004
114,23.9370159004
114.5,23.9370159004
115,23.9370159004
115.5,23.9370159004
116,23.9370159004
116.5,23.9370159004
117,23.9370159004
117.5,23.9370159004
118,23.9370159004
118.5,23.9370159004
119,23.9370159004
119.5,23.9370159004
120,23.9370159004
120.5,23.9370159004
121,23.9370159004
121.5,23.9370159004
122,23.9370159004
122.5,23.9370159004
123,23.9370159004
123.5,23.9370159004
124,23.9370159004
124.5,23.9370159004
125,23.9370159004
125.5,23.9370159004
126,23.9370159004
126.5,23.9370159004
127,23.9370159004
127.5,23.9370159004
128,23.9370159004
128.5,23.9370159004
129,23.9370159004
129.5,23.9370159004
130,23.9370159004
130.5,23.9370159004
131,23.9370159004
131.5,23.9370159004
132,23.9370159004
132.5,23.9370159004
133,23.9370159004
133.5,23.9370159004
134,23.9370159004
134.5,23.9370159004
