"Latest: Time (s)","Latest: Temperature (°C)"
0,22.6870158818
0.5,22.6870158818
1,22.7495158827
1.5,22.7495158827
2,22.7495158827
2.5,22.8120158836
3,22.8120158836
3.5,22.8120158836
4,22.8120158836
4.5,22.8120158836
5,22.8120158836
5.5,22.8745158846
6,22.8745158846
6.5,22.8745158846
7,22.8745158846
7.5,22.8745158846
8,22.8745158846
8.5,22.8745158846
9,22.8745158846
9.5,22.8745158846
10,22.8745158846
10.5,22.8745158846
11,22.8745158846
11.5,22.8745158846
12,22.8745158846
12.5,22.9370158855
13,22.9370158855
13.5,22.9370158855
14,22.9370158855
14.5,22.9370158855
15,22.9370158855
15.5,22.9370158855
16,22.9370158855
16.5,22.9370158855
17,22.9370158855
17.5,22.9370158855
18,22.9370158855
18.5,22.9370158855
19,22.9370158855
19.5,22.9370158855
20,22.9370158855
20.5,22.9370158855
21,22.9370158855
21.5,22.9370158855
22,22.9370158855
22.5,22.9370158855
23,22.9370158855
23.5,22.9370158855
24,22.9370158855
24.5,22.9370158855
25,22.9370158855
25.5,22.9370158855
26,22.9370158855
26.5,22.9995158864
27,22.9370158855
27.5,22.9370158855
28,22.9995158864
28.5,22.9995158864
29,22.9370158855
29.5,22.9370158855
30,22.9995158864
30.5,22.9370158855
31,22.9995158864
31.5,22.9995158864
32,22.9995158864
32.5,22.9995158864
33,22.9995158864
33.5,22.9995158864
34,22.9995158864
34.5,22.9995158864
35,22.9995158864
35.5,22.9995158864
36,22.9995158864
36.5,22.9995158864
37,22.9995158864
37.5,22.9995158864
38,22.9995158864
38.5,22.9995158864
39,22.9995158864
39.5,22.9995158864
40,22.9995158864
40.5,22.9995158864
41,22.9995158864
41.5,22.9995158864
42,22.9995158864
42.5,22.9995158864
43,22.9995158864
43.5,22.9995158864
44,22.9995158864
44.5,22.9995158864
45,22.9995158864
45.5,22.9995158864
46,22.9995158864
46.5,22.9995158864
47,22.9995158864
47.5,22.9995158864
48,22.9995158864
48.5,22.9995158864
