"Latest: Time (s)","Latest: Temperature (°C)"
0,22.1245158734
0.5,22.1245158734
1,22.1870158743
1.5,22.1870158743
2,22.2495158752
2.5,22.3120158762
3,22.3120158762
3.5,22.3745158771
4,22.437015878
4.5,22.437015878
5,22.437015878
5.5,22.499515879
6,22.499515879
6.5,22.499515879
7,22.5620158799
7.5,22.5620158799
8,22.5620158799
8.5,22.5620158799
9,22.5620158799
9.5,22.5620158799
10,22.6245158808
10.5,22.6245158808
11,22.6245158808
11.5,22.6245158808
12,22.6245158808
12.5,22.6245158808
13,22.6245158808
13.5,22.6245158808
14,22.6245158808
14.5,22.6245158808
15,22.6245158808
15.5,22.6245158808
16,22.6245158808
16.5,22.6245158808
17,22.6245158808
17.5,22.6245158808
18,22.6245158808
18.5,22.6245158808
19,22.6870158818
19.5,22.6870158818
20,22.6870158818
20.5,22.6870158818
21,22.6870158818
21.5,22.6870158818
22,22.6870158818
22.5,22.6870158818
23,22.6870158818
23.5,22.6870158818
24,22.6870158818
24.5,22.6870158818
25,22.6870158818
25.5,22.6870158818
26,22.6870158818
26.5,22.6870158818
27,22.6870158818
27.5,22.6870158818
28,22.6870158818
28.5,22.6870158818
29,22.6870158818
29.5,22.6870158818
30,22.6870158818
30.5,22.6245158808
31,22.6245158808
31.5,22.6870158818
32,22.6870158818
32.5,22.6870158818
33,22.6870158818
33.5,22.6870158818
34,22.6870158818
34.5,22.6870158818
35,22.6870158818
35.5,22.6870158818
36,22.6870158818
36.5,22.6870158818
37,22.6870158818
37.5,22.6870158818
38,22.6870158818
38.5,22.6870158818
39,22.6870158818
39.5,22.6870158818
40,22.6870158818
40.5,22.6870158818
41,22.6870158818
41.5,22.6870158818
42,22.6870158818
42.5,22.6870158818
43,22.6870158818
43.5,22.6870158818
44,22.6870158818
44.5,22.6870158818
45,22.6870158818
45.5,22.6870158818
46,22.6870158818
46.5,22.6870158818
47,22.6870158818
47.5,22.6870158818
48,22.6870158818
48.5,22.6870158818
49,22.6870158818
49.5,22.6870158818
50,22.6870158818
50.5,22.6870158818
51,22.6870158818
51.5,22.6870158818
52,22.6870158818
52.5,22.6870158818
53,22.6870158818
53.5,22.6870158818
54,22.6870158818
54.5,22.6870158818
55,22.6870158818
55.5,22.6870158818
56,22.6870158818
56.5,22.6870158818
57,22.6870158818
57.5,22.6870158818
58,22.6870158818
58.5,22.6870158818
59,22.6870158818
59.5,22.6870158818
60,22.6870158818
60.5,22.6870158818
61,22.6870158818
61.5,22.6870158818
62,22.6870158818
62.5,22.6870158818
63,22.6870158818
63.5,22.6870158818
64,22.6870158818
64.5,22.6870158818
65,22.6870158818
65.5,22.6870158818
66,22.6870158818
66.5,22.6870158818
67,22.6870158818
67.5,22.6870158818
68,22.6870158818
68.5,22.6870158818
69,22.6870158818
69.5,22.6870158818
70,22.6870158818
70.5,22.6870158818
71,22.6870158818
71.5,22.6870158818
72,22.6870158818
72.5,22.6870158818
73,22.6870158818
73.5,22.6870158818
74,22.6870158818
74.5,22.6245158808
75,22.6870158818
75.5,22.6870158818
76,22.6870158818
76.5,22.6245158808
77,22.6245158808
77.5,22.6245158808
78,22.6870158818
78.5,22.6870158818
79,22.6245158808
79.5,22.6870158818
80,22.6870158818
80.5,22.6245158808
81,22.6870158818
81.5,22.6245158808
82,22.6870158818
82.5,22.6245158808
83,22.6870158818
83.5,22.6870158818
84,22.6245158808
84.5,22.6870158818
85,22.6870158818
85.5,22.6245158808
86,22.6245158808
86.5,22.6870158818
87,22.6245158808
87.5,22.6245158808
88,22.6870158818
88.5,22.6870158818
89,22.6245158808
89.5,22.6870158818
90,22.6245158808
90.5,22.6870158818
91,22.6245158808
91.5,22.6245158808
92,22.6870158818
92.5,22.6870158818
93,22.6870158818
93.5,22.6245158808
94,22.6245158808
94.5,22.6245158808
95,22.6245158808
95.5,22.6870158818
96,22.6245158808
96.5,22.6245158808
97,22.6245158808
97.5,22.6870158818
98,22.6245158808
98.5,22.6245158808
99,22.6245158808
99.5,22.6245158808
100,22.6245158808
100.5,22.6245158808
101,22.6245158808
101.5,22.6245158808
102,22.6245158808
102.5,22.6245158808
103,22.6245158808
103.5,22.6245158808
104,22.6245158808
104.5,22.6245158808
105,22.6245158808
105.5,22.6245158808
