"Latest: Time (s)","Latest: Temperature (°C)"
0,19.749515838
0.5,19.749515838
1,19.749515838
1.5,19.749515838
2,19.749515838
2.5,19.749515838
3,19.749515838
3.5,19.749515838
4,19.749515838
4.5,19.749515838
5,19.749515838
5.5,19.749515838
6,19.749515838
6.5,19.749515838
7,19.749515838
7.5,19.749515838
8,19.6870158371
8.5,19.6870158371
9,19.6870158371
9.5,19.6870158371
10,19.6245158361
10.5,19.6245158361
11,19.6245158361
11.5,19.5620158352
12,19.5620158352
12.5,19.5620158352
13,19.5620158352
13.5,19.5620158352
14,19.5620158352
14.5,19.5620158352
15,19.5620158352
15.5,19.5620158352
16,19.5620158352
16.5,19.5620158352
17,19.5620158352
17.5,19.5620158352
18,19.5620158352
18.5,19.5620158352
19,19.5620158352
19.5,19.5620158352
20,19.5620158352
20.5,19.5620158352
21,19.5620158352
21.5,19.6245158361
22,19.6245158361
22.5,19.6245158361
23,19.6245158361
23.5,19.6245158361
24,19.6245158361
24.5,19.6245158361
25,19.6245158361
25.5,19.6245158361
26,19.6245158361
26.5,19.6870158371
27,19.6870158371
27.5,19.6870158371
28,19.6870158371
28.5,19.6870158371
29,19.6870158371
29.5,19.6870158371
30,19.6870158371
30.5,19.6870158371
31,19.749515838
31.5,19.749515838
32,19.749515838
32.5,19.749515838
33,19.749515838
33.5,19.749515838
34,19.749515838
34.5,19.749515838
35,19.749515838
35.5,19.749515838
36,19.749515838
36.5,19.749515838
37,19.749515838
37.5,19.749515838
38,19.749515838
38.5,19.749515838
39,19.749515838
39.5,19.749515838
40,19.749515838
40.5,19.749515838
41,19.749515838
41.5,19.749515838
42,19.749515838
42.5,19.749515838
43,19.749515838
43.5,19.8120158389
44,19.749515838
44.5,19.749515838
45,19.749515838
45.5,19.8120158389
46,19.8120158389
46.5,19.8120158389
47,19.8120158389
47.5,19.8120158389
48,19.8120158389
48.5,19.8120158389
49,19.8120158389
49.5,19.8120158389
50,19.8120158389
50.5,19.8120158389
51,19.8120158389
51.5,19.8120158389
52,19.8120158389
52.5,19.8120158389
53,19.8120158389
53.5,19.8120158389
54,19.8120158389
54.5,19.8120158389
55,19.8120158389
55.5,19.8120158389
56,19.8120158389
56.5,19.8120158389
57,19.8120158389
57.5,19.8120158389
