"group3 - RawData"
"Wavelength nm.","Abs."
510.00,0.033
510.05,0.034
510.10,0.036
510.15,0.037
510.20,0.039
510.25,0.038
510.30,0.037
510.35,0.036
510.40,0.038
510.45,0.036
510.50,0.035
510.55,0.036
510.60,0.036
510.65,0.033
510.70,0.034
510.75,0.035
510.80,0.034
510.85,0.032
510.90,0.034
510.95,0.033
511.00,0.033
511.05,0.038
511.10,0.037
511.15,0.039
511.20,0.038
511.25,0.037
511.30,0.037
511.35,0.035
511.40,0.038
511.45,0.036
511.50,0.035
511.55,0.037
511.60,0.034
511.65,0.036
511.70,0.035
511.75,0.034
511.80,0.034
511.85,0.034
511.90,0.035
511.95,0.033
512.00,0.032
512.05,0.036
512.10,0.039
512.15,0.039
512.20,0.040
512.25,0.036
512.30,0.038
512.35,0.039
512.40,0.037
512.45,0.038
512.50,0.038
512.55,0.036
512.60,0.037
512.65,0.034
512.70,0.036
512.75,0.034
512.80,0.034
512.85,0.033
512.90,0.033
512.95,0.033
513.00,0.034
513.05,0.032
513.10,0.036
513.15,0.037
513.20,0.039
513.25,0.041
513.30,0.038
513.35,0.039
513.40,0.038
513.45,0.039
513.50,0.037
513.55,0.038
513.60,0.037
513.65,0.035
513.70,0.037
513.75,0.036
513.80,0.035
513.85,0.035
513.90,0.035
513.95,0.033
514.00,0.035
514.05,0.034
514.10,0.035
514.15,0.036
514.20,0.033
514.25,0.034
514.30,0.041
514.35,0.038
514.40,0.040
514.45,0.040
514.50,0.040
514.55,0.039
514.60,0.037
514.65,0.038
514.70,0.038
514.75,0.038
514.80,0.037
514.85,0.038
514.90,0.038
514.95,0.037
515.00,0.037
515.05,0.035
515.10,0.036
515.15,0.035
515.20,0.035
515.25,0.034
515.30,0.033
515.35,0.035
515.40,0.034
515.45,0.037
515.50,0.041
515.55,0.041
515.60,0.042
515.65,0.040
515.70,0.039
515.75,0.040
515.80,0.038
515.85,0.039
515.90,0.035
515.95,0.037
516.00,0.035
516.05,0.035
516.10,0.037
516.15,0.034
516.20,0.035
516.25,0.035
516.30,0.033
516.35,0.033
516.40,0.035
516.45,0.035
516.50,0.030
516.55,0.034
516.60,0.032
516.65,0.039
516.70,0.042
516.75,0.040
516.80,0.041
516.85,0.039
516.90,0.040
516.95,0.038
517.00,0.039
517.05,0.039
517.10,0.038
517.15,0.038
517.20,0.038
517.25,0.039
517.30,0.038
517.35,0.037
517.40,0.036
517.45,0.036
517.50,0.034
517.55,0.034
517.60,0.033
517.65,0.035
517.70,0.033
517.75,0.035
517.80,0.033
517.85,0.033
517.90,0.037
517.95,0.039
518.00,0.041
518.05,0.042
518.10,0.041
518.15,0.042
518.20,0.041
518.25,0.042
518.30,0.040
518.35,0.037
518.40,0.037
518.45,0.037
518.50,0.038
518.55,0.038
518.60,0.035
518.65,0.037
518.70,0.036
518.75,0.038
518.80,0.035
518.85,0.035
518.90,0.035
518.95,0.035
519.00,0.035
519.05,0.034
519.10,0.035
519.15,0.035
519.20,0.034
519.25,0.033
519.30,0.039
519.35,0.042
519.40,0.041
519.45,0.041
519.50,0.043
519.55,0.042
519.60,0.039
519.65,0.039
519.70,0.038
519.75,0.037
519.80,0.038
519.85,0.036
519.90,0.035
519.95,0.037
