"hmm - RawData"
"Wavelength nm.","Abs."
510.00,0.036
510.05,0.036
510.10,0.037
510.15,0.038
510.20,0.042
510.25,0.040
510.30,0.039
510.35,0.040
510.40,0.041
510.45,0.040
510.50,0.039
510.55,0.039
510.60,0.039
510.65,0.036
510.70,0.037
510.75,0.039
510.80,0.037
510.85,0.036
510.90,0.037
510.95,0.036
511.00,0.035
511.05,0.038
511.10,0.040
511.15,0.041
511.20,0.041
511.25,0.039
511.30,0.041
511.35,0.039
511.40,0.042
511.45,0.039
511.50,0.039
511.55,0.039
511.60,0.036
511.65,0.037
511.70,0.036
511.75,0.039
511.80,0.038
511.85,0.036
511.90,0.038
511.95,0.038
512.00,0.035
512.05,0.036
512.10,0.039
512.15,0.042
512.20,0.044
512.25,0.041
512.30,0.040
512.35,0.041
512.40,0.040
512.45,0.039
512.50,0.041
512.55,0.038
512.60,0.041
512.65,0.041
512.70,0.039
512.75,0.040
512.80,0.039
512.85,0.037
512.90,0.037
512.95,0.038
513.00,0.037
513.05,0.035
513.10,0.039
513.15,0.039
513.20,0.038
513.25,0.044
513.30,0.041
513.35,0.043
513.40,0.041
513.45,0.041
513.50,0.041
513.55,0.039
513.60,0.042
513.65,0.037
513.70,0.038
513.75,0.040
513.80,0.039
513.85,0.038
513.90,0.037
513.95,0.038
514.00,0.038
514.05,0.037
514.10,0.039
514.15,0.038
514.20,0.037
514.25,0.036
514.30,0.040
514.35,0.040
514.40,0.043
514.45,0.042
514.50,0.042
514.55,0.042
514.60,0.040
514.65,0.041
514.70,0.041
514.75,0.039
514.80,0.040
514.85,0.039
514.90,0.040
514.95,0.040
515.00,0.040
515.05,0.038
515.10,0.038
515.15,0.038
515.20,0.038
515.25,0.037
515.30,0.035
515.35,0.037
515.40,0.039
515.45,0.038
515.50,0.041
515.55,0.043
515.60,0.044
515.65,0.042
515.70,0.043
515.75,0.044
515.80,0.043
515.85,0.042
515.90,0.040
515.95,0.040
516.00,0.040
516.05,0.038
516.10,0.040
516.15,0.037
516.20,0.038
516.25,0.039
516.30,0.038
516.35,0.037
516.40,0.036
516.45,0.038
516.50,0.033
516.55,0.036
516.60,0.036
516.65,0.037
516.70,0.045
516.75,0.042
516.80,0.044
516.85,0.041
516.90,0.043
516.95,0.043
517.00,0.041
517.05,0.041
517.10,0.041
517.15,0.041
517.20,0.040
517.25,0.039
517.30,0.043
517.35,0.040
517.40,0.037
517.45,0.038
517.50,0.036
517.55,0.038
517.60,0.035
517.65,0.036
517.70,0.036
517.75,0.035
517.80,0.037
517.85,0.034
517.90,0.037
517.95,0.035
518.00,0.041
518.05,0.044
518.10,0.043
518.15,0.042
518.20,0.045
518.25,0.042
518.30,0.042
518.35,0.043
518.40,0.042
518.45,0.041
518.50,0.040
518.55,0.043
518.60,0.039
518.65,0.039
518.70,0.039
518.75,0.040
518.80,0.038
518.85,0.039
518.90,0.036
518.95,0.039
519.00,0.037
519.05,0.038
519.10,0.036
519.15,0.037
519.20,0.037
519.25,0.036
519.30,0.039
519.35,0.044
519.40,0.043
519.45,0.043
519.50,0.045
519.55,0.043
519.60,0.041
519.65,0.044
519.70,0.042
519.75,0.041
519.80,0.037
519.85,0.039
519.90,0.038
519.95,0.039
520.00,0.037
520.05,0.037
520.10,0.038
520.15,0.038
520.20,0.038
520.25,0.038
520.30,0.037
520.35,0.038
520.40,0.034
520.45,0.037
520.50,0.035
520.55,0.034
520.60,0.035
520.65,0.036
520.70,0.034
520.75,0.042
520.80,0.046
520.85,0.045
520.90,0.046
520.95,0.044
521.00,0.041
521.05,0.042
521.10,0.043
521.15,0.042
521.20,0.045
521.25,0.040
521.30,0.040
521.35,0.041
521.40,0.041
521.45,0.039
521.50,0.039
521.55,0.040
521.60,0.039
521.65,0.039
521.70,0.037
521.75,0.035
521.80,0.036
521.85,0.038
521.90,0.036
521.95,0.035
522.00,0.034
522.05,0.035
522.10,0.035
522.15,0.033
522.20,0.043
522.25,0.044
522.30,0.043
522.35,0.043
522.40,0.047
522.45,0.042
522.50,0.044
522.55,0.042
522.60,0.041
522.65,0.045
522.70,0.042
522.75,0.042
522.80,0.040
522.85,0.040
522.90,0.041
522.95,0.039
523.00,0.041
523.05,0.040
523.10,0.036
523.15,0.039
523.20,0.036
523.25,0.037
523.30,0.038
523.35,0.033
523.40,0.039
523.45,0.032
523.50,0.036
523.55,0.035
523.60,0.034
523.65,0.034
523.70,0.040
523.75,0.044
523.80,0.046
523.85,0.046
523.90,0.044
523.95,0.043
524.00,0.045
524.05,0.044
524.10,0.044
524.15,0.044
524.20,0.043
524.25,0.043
524.30,0.040
524.35,0.040
524.40,0.042
524.45,0.039
524.50,0.041
524.55,0.039
524.60,0.038
524.65,0.042
524.70,0.038
524.75,0.036
524.80,0.036
524.85,0.038
524.90,0.035
524.95,0.035
525.00,0.035
525.05,0.034
525.10,0.035
525.15,0.036
525.20,0.034
525.25,0.033
525.30,0.037
525.35,0.044
525.40,0.047
525.45,0.046
525.50,0.045
525.55,0.046
525.60,0.049
525.65,0.045
525.70,0.044
525.75,0.044
525.80,0.043
525.85,0.043
525.90,0.043
525.95,0.041
526.00,0.041
526.05,0.040
526.10,0.040
526.15,0.039
526.20,0.040
526.25,0.039
526.30,0.036
526.35,0.038
526.40,0.039
526.45,0.038
526.50,0.035
526.55,0.035
526.60,0.035
526.65,0.031
526.70,0.036
526.75,0.034
526.80,0.036
526.85,0.036
526.90,0.034
526.95,0.039
527.00,0.046
527.05,0.046
527.10,0.049
527.15,0.046
527.20,0.046
527.25,0.047
527.30,0.044
527.35,0.044
527.40,0.044
527.45,0.043
527.50,0.043
527.55,0.043
527.60,0.042
527.65,0.041
527.70,0.038
527.75,0.040
527.80,0.039
527.85,0.039
527.90,0.039
527.95,0.038
528.00,0.039
528.05,0.039
528.10,0.037
528.15,0.037
528.20,0.035
528.25,0.037
528.30,0.036
528.35,0.034
528.40,0.035
528.45,0.034
528.50,0.036
528.55,0.034
528.60,0.032
528.65,0.033
528.70,0.034
528.75,0.039
528.80,0.048
528.85,0.050
528.90,0.048
528.95,0.047
529.00,0.044
529.05,0.048
529.10,0.042
529.15,0.042
529.20,0.044
529.25,0.042
529.30,0.041
529.35,0.041
529.40,0.037
529.45,0.041
529.50,0.042
529.55,0.039
529.60,0.039
529.65,0.038
529.70,0.039
529.75,0.036
529.80,0.037
529.85,0.037
529.90,0.035
529.95,0.037
530.00,0.037
530.05,0.035
530.10,0.036
530.15,0.035
530.20,0.032
530.25,0.032
530.30,0.032
530.35,0.033
530.40,0.034
530.45,0.031
530.50,0.032
530.55,0.036
530.60,0.045
530.65,0.045
530.70,0.047
530.75,0.044
530.80,0.047
530.85,0.046
530.90,0.045
530.95,0.044
531.00,0.043
531.05,0.046
531.10,0.042
531.15,0.043
531.20,0.040
531.25,0.042
531.30,0.039
531.35,0.040
531.40,0.038
531.45,0.039
531.50,0.040
531.55,0.040
531.60,0.037
531.65,0.037
531.70,0.036
531.75,0.035
531.80,0.034
531.85,0.036
531.90,0.037
531.95,0.034
532.00,0.033
532.05,0.035
532.10,0.031
532.15,0.034
532.20,0.033
532.25,0.032
532.30,0.031
532.35,0.031
532.40,0.032
532.45,0.032
532.50,0.038
532.55,0.046
532.60,0.048
532.65,0.048
532.70,0.046
532.75,0.046
532.80,0.045
532.85,0.045
532.90,0.044
532.95,0.046
533.00,0.042
533.05,0.039
533.10,0.041
533.15,0.040
533.20,0.040
533.25,0.040
533.30,0.040
533.35,0.039
533.40,0.039
533.45,0.038
533.50,0.036
533.55,0.035
533.60,0.035
533.65,0.037
533.70,0.038
533.75,0.036
533.80,0.035
533.85,0.034
533.90,0.030
533.95,0.034
534.00,0.033
534.05,0.032
534.10,0.033
534.15,0.034
534.20,0.032
534.25,0.034
534.30,0.033
534.35,0.032
534.40,0.032
534.45,0.034
534.50,0.043
534.55,0.045
534.60,0.047
534.65,0.048
534.70,0.044
534.75,0.046
534.80,0.044
534.85,0.046
534.90,0.043
534.95,0.045
535.00,0.042
535.05,0.042
535.10,0.040
535.15,0.041
535.20,0.041
535.25,0.039
535.30,0.038
535.35,0.037
535.40,0.039
535.45,0.037
535.50,0.037
535.55,0.038
535.60,0.037
535.65,0.035
535.70,0.035
535.75,0.033
535.80,0.035
535.85,0.031
535.90,0.032
535.95,0.034
536.00,0.032
536.05,0.033
536.10,0.033
536.15,0.032
536.20,0.031
536.25,0.033
536.30,0.033
536.35,0.033
536.40,0.030
536.45,0.032
536.50,0.033
536.55,0.045
536.60,0.047
536.65,0.046
536.70,0.047
536.75,0.045
536.80,0.045
536.85,0.044
536.90,0.042
536.95,0.045
537.00,0.042
537.05,0.040
537.10,0.041
537.15,0.040
537.20,0.041
537.25,0.039
537.30,0.039
537.35,0.040
537.40,0.039
537.45,0.038
537.50,0.039
537.55,0.037
537.60,0.036
537.65,0.036
537.70,0.035
537.75,0.036
537.80,0.034
537.85,0.036
537.90,0.033
537.95,0.033
538.00,0.031
538.05,0.032
538.10,0.034
538.15,0.033
538.20,0.031
538.25,0.032
538.30,0.031
538.35,0.031
538.40,0.030
538.45,0.030
538.50,0.031
538.55,0.030
538.60,0.035
538.65,0.045
538.70,0.047
538.75,0.047
538.80,0.046
538.85,0.046
538.90,0.044
538.95,0.044
539.00,0.044
539.05,0.041
539.10,0.042
539.15,0.043
539.20,0.044
539.25,0.040
539.30,0.042
539.35,0.038
539.40,0.040
539.45,0.040
539.50,0.040
539.55,0.040
539.60,0.037
539.65,0.038
539.70,0.038
539.75,0.035
539.80,0.035
539.85,0.036
539.90,0.031
539.95,0.034
540.00,0.034
540.05,0.033
540.10,0.033
540.15,0.033
540.20,0.031
540.25,0.032
540.30,0.031
540.35,0.030
540.40,0.028
540.45,0.029
540.50,0.030
540.55,0.028
540.60,0.028
540.65,0.031
540.70,0.030
540.75,0.030
540.80,0.033
540.85,0.043
540.90,0.046
540.95,0.045
541.00,0.047
541.05,0.045
541.10,0.046
541.15,0.044
541.20,0.044
541.25,0.043
541.30,0.043
541.35,0.041
541.40,0.041
541.45,0.042
541.50,0.040
541.55,0.040
541.60,0.039
541.65,0.039
541.70,0.038
541.75,0.035
541.80,0.036
541.85,0.037
541.90,0.035
541.95,0.036
542.00,0.035
542.05,0.034
542.10,0.034
542.15,0.032
542.20,0.033
542.25,0.033
542.30,0.031
542.35,0.032
542.40,0.029
542.45,0.031
542.50,0.032
542.55,0.030
542.60,0.028
542.65,0.030
542.70,0.030
542.75,0.031
542.80,0.029
542.85,0.030
542.90,0.030
542.95,0.029
543.00,0.030
543.05,0.031
543.10,0.041
543.15,0.047
543.20,0.045
543.25,0.045
543.30,0.045
543.35,0.044
543.40,0.042
543.45,0.041
543.50,0.041
543.55,0.041
543.60,0.042
543.65,0.038
543.70,0.039
543.75,0.040
543.80,0.038
543.85,0.037
543.90,0.038
543.95,0.035
544.00,0.037
544.05,0.037
544.10,0.034
544.15,0.034
544.20,0.034
544.25,0.033
544.30,0.034
544.35,0.032
544.40,0.034
544.45,0.031
544.50,0.032
544.55,0.034
544.60,0.030
544.65,0.031
544.70,0.030
544.75,0.030
544.80,0.031
544.85,0.029
544.90,0.031
544.95,0.032
545.00,0.032
545.05,0.031
