"mrg - RawData"
"Wavelength nm.","Abs."
510.00,0.029
510.05,0.029
510.10,0.031
510.15,0.031
510.20,0.033
510.25,0.032
510.30,0.031
510.35,0.031
510.40,0.031
510.45,0.031
510.50,0.029
510.55,0.031
510.60,0.030
510.65,0.029
510.70,0.028
510.75,0.030
510.80,0.027
510.85,0.026
510.90,0.029
510.95,0.028
511.00,0.028
511.05,0.032
511.10,0.032
511.15,0.033
511.20,0.032
511.25,0.032
511.30,0.033
511.35,0.030
511.40,0.032
511.45,0.031
511.50,0.030
511.55,0.032
511.60,0.028
511.65,0.030
511.70,0.030
511.75,0.031
511.80,0.030
511.85,0.029
511.90,0.030
511.95,0.029
512.00,0.027
512.05,0.030
512.10,0.032
512.15,0.034
512.20,0.035
512.25,0.035
512.30,0.033
512.35,0.034
512.40,0.033
512.45,0.031
512.50,0.033
512.55,0.030
512.60,0.031
512.65,0.031
512.70,0.032
512.75,0.030
512.80,0.028
512.85,0.028
512.90,0.028
512.95,0.028
513.00,0.028
513.05,0.027
513.10,0.030
513.15,0.032
513.20,0.033
513.25,0.035
513.30,0.033
513.35,0.034
513.40,0.033
513.45,0.033
513.50,0.034
513.55,0.032
513.60,0.033
513.65,0.031
513.70,0.031
513.75,0.032
513.80,0.029
513.85,0.031
513.90,0.031
513.95,0.030
514.00,0.030
514.05,0.030
514.10,0.030
514.15,0.031
514.20,0.029
514.25,0.030
514.30,0.034
514.35,0.033
514.40,0.034
514.45,0.035
514.50,0.035
514.55,0.034
514.60,0.032
514.65,0.034
514.70,0.034
514.75,0.030
514.80,0.033
514.85,0.031
514.90,0.033
514.95,0.033
515.00,0.030
515.05,0.031
515.10,0.030
515.15,0.031
515.20,0.029
515.25,0.029
515.30,0.029
515.35,0.030
515.40,0.029
515.45,0.033
515.50,0.036
515.55,0.036
515.60,0.035
515.65,0.033
515.70,0.034
515.75,0.035
515.80,0.034
515.85,0.035
515.90,0.031
515.95,0.032
516.00,0.031
516.05,0.030
516.10,0.032
516.15,0.029
516.20,0.030
516.25,0.030
516.30,0.031
516.35,0.028
516.40,0.028
516.45,0.030
516.50,0.026
516.55,0.029
516.60,0.029
516.65,0.031
516.70,0.037
516.75,0.035
516.80,0.036
516.85,0.035
516.90,0.036
516.95,0.034
517.00,0.033
517.05,0.033
517.10,0.033
517.15,0.031
517.20,0.033
517.25,0.031
517.30,0.036
517.35,0.031
517.40,0.030
517.45,0.029
517.50,0.028
517.55,0.029
517.60,0.026
517.65,0.028
517.70,0.028
517.75,0.028
517.80,0.029
517.85,0.025
517.90,0.029
517.95,0.032
518.00,0.036
518.05,0.036
518.10,0.036
518.15,0.035
518.20,0.035
518.25,0.036
518.30,0.035
518.35,0.033
518.40,0.033
518.45,0.033
518.50,0.032
518.55,0.034
518.60,0.029
518.65,0.031
518.70,0.031
518.75,0.031
518.80,0.031
518.85,0.030
518.90,0.030
518.95,0.029
519.00,0.028
519.05,0.029
519.10,0.028
519.15,0.030
519.20,0.029
519.25,0.030
519.30,0.033
519.35,0.037
519.40,0.035
519.45,0.036
519.50,0.039
519.55,0.034
519.60,0.033
519.65,0.035
519.70,0.032
519.75,0.033
519.80,0.031
519.85,0.030
519.90,0.029
519.95,0.031
520.00,0.030
520.05,0.030
520.10,0.032
520.15,0.031
520.20,0.030
520.25,0.029
520.30,0.028
520.35,0.030
520.40,0.026
520.45,0.031
520.50,0.027
520.55,0.025
520.60,0.027
520.65,0.029
520.70,0.027
520.75,0.035
520.80,0.039
520.85,0.037
520.90,0.036
520.95,0.035
521.00,0.035
521.05,0.036
521.10,0.034
521.15,0.034
521.20,0.034
521.25,0.032
521.30,0.032
521.35,0.035
521.40,0.033
521.45,0.030
521.50,0.030
521.55,0.032
521.60,0.031
521.65,0.031
521.70,0.030
521.75,0.029
521.80,0.028
521.85,0.028
521.90,0.028
521.95,0.028
522.00,0.027
522.05,0.028
522.10,0.027
522.15,0.029
522.20,0.037
522.25,0.038
522.30,0.036
522.35,0.036
522.40,0.039
522.45,0.034
522.50,0.038
522.55,0.035
522.60,0.035
522.65,0.037
522.70,0.033
522.75,0.035
522.80,0.033
522.85,0.033
522.90,0.033
522.95,0.032
523.00,0.032
523.05,0.031
523.10,0.030
523.15,0.032
523.20,0.030
523.25,0.030
523.30,0.026
523.35,0.027
523.40,0.029
523.45,0.024
523.50,0.030
523.55,0.028
523.60,0.028
523.65,0.029
523.70,0.037
523.75,0.037
523.80,0.038
523.85,0.039
523.90,0.036
523.95,0.035
524.00,0.038
524.05,0.033
524.10,0.038
524.15,0.038
524.20,0.037
524.25,0.036
524.30,0.034
524.35,0.034
524.40,0.035
524.45,0.031
524.50,0.033
524.55,0.030
524.60,0.031
524.65,0.033
524.70,0.031
524.75,0.029
524.80,0.030
524.85,0.029
524.90,0.029
524.95,0.027
525.00,0.030
525.05,0.028
525.10,0.027
525.15,0.028
525.20,0.027
525.25,0.026
525.30,0.033
525.35,0.039
525.40,0.040
525.45,0.036
525.50,0.037
525.55,0.038
525.60,0.038
525.65,0.037
525.70,0.038
525.75,0.035
525.80,0.036
525.85,0.036
525.90,0.035
525.95,0.033
526.00,0.034
526.05,0.032
526.10,0.035
526.15,0.033
526.20,0.033
526.25,0.031
526.30,0.029
526.35,0.031
526.40,0.031
526.45,0.031
526.50,0.028
526.55,0.030
526.60,0.028
526.65,0.026
526.70,0.028
526.75,0.027
526.80,0.026
526.85,0.029
526.90,0.029
526.95,0.034
527.00,0.042
527.05,0.038
527.10,0.038
527.15,0.038
527.20,0.039
527.25,0.039
527.30,0.037
527.35,0.037
527.40,0.037
527.45,0.035
527.50,0.035
527.55,0.036
527.60,0.035
527.65,0.036
527.70,0.033
527.75,0.033
527.80,0.032
527.85,0.032
527.90,0.030
527.95,0.031
528.00,0.031
528.05,0.031
528.10,0.029
528.15,0.030
528.20,0.029
528.25,0.029
528.30,0.027
528.35,0.027
528.40,0.028
528.45,0.028
528.50,0.027
528.55,0.026
528.60,0.026
528.65,0.026
528.70,0.027
528.75,0.034
528.80,0.042
528.85,0.040
528.90,0.043
528.95,0.040
529.00,0.037
529.05,0.042
529.10,0.036
529.15,0.037
529.20,0.036
529.25,0.036
529.30,0.036
529.35,0.032
529.40,0.031
529.45,0.032
529.50,0.033
529.55,0.031
529.60,0.031
529.65,0.031
529.70,0.033
529.75,0.029
529.80,0.031
529.85,0.030
529.90,0.028
529.95,0.029
530.00,0.029
530.05,0.027
530.10,0.027
530.15,0.027
530.20,0.027
530.25,0.025
530.30,0.025
530.35,0.027
530.40,0.025
530.45,0.025
530.50,0.024
530.55,0.029
530.60,0.037
530.65,0.038
530.70,0.040
530.75,0.038
530.80,0.039
530.85,0.038
530.90,0.036
530.95,0.037
531.00,0.036
531.05,0.037
531.10,0.036
531.15,0.036
531.20,0.032
531.25,0.035
531.30,0.032
531.35,0.033
531.40,0.031
531.45,0.032
531.50,0.033
531.55,0.029
531.60,0.031
531.65,0.029
531.70,0.029
531.75,0.027
531.80,0.029
531.85,0.028
531.90,0.027
531.95,0.024
532.00,0.028
532.05,0.027
532.10,0.024
532.15,0.026
532.20,0.024
532.25,0.025
532.30,0.023
532.35,0.024
532.40,0.022
532.45,0.025
532.50,0.033
532.55,0.040
532.60,0.039
532.65,0.040
532.70,0.038
532.75,0.039
532.80,0.039
532.85,0.037
532.90,0.037
532.95,0.036
533.00,0.036
533.05,0.034
533.10,0.034
533.15,0.034
533.20,0.034
533.25,0.031
533.30,0.032
533.35,0.031
533.40,0.031
533.45,0.031
533.50,0.028
533.55,0.028
533.60,0.028
533.65,0.028
533.70,0.029
533.75,0.029
533.80,0.028
533.85,0.027
533.90,0.024
533.95,0.025
534.00,0.026
534.05,0.025
534.10,0.025
534.15,0.026
534.20,0.024
534.25,0.027
534.30,0.026
534.35,0.024
534.40,0.025
534.45,0.030
534.50,0.037
534.55,0.041
534.60,0.038
534.65,0.039
534.70,0.036
534.75,0.038
534.80,0.036
534.85,0.036
534.90,0.036
534.95,0.037
535.00,0.034
535.05,0.031
535.10,0.033
535.15,0.034
535.20,0.033
535.25,0.030
535.30,0.031
535.35,0.031
535.40,0.030
535.45,0.030
535.50,0.031
535.55,0.031
535.60,0.028
535.65,0.031
535.70,0.026
535.75,0.028
535.80,0.026
535.85,0.026
535.90,0.026
535.95,0.028
536.00,0.023
536.05,0.026
536.10,0.024
536.15,0.025
536.20,0.025
536.25,0.025
536.30,0.026
536.35,0.025
536.40,0.023
536.45,0.026
536.50,0.030
536.55,0.039
536.60,0.040
536.65,0.038
536.70,0.040
536.75,0.038
536.80,0.039
536.85,0.036
536.90,0.037
536.95,0.036
537.00,0.035
537.05,0.036
